cytokine,cell,Cell ontology Label
OSM,CL_0000214,synovial cell
CCL2,CL_0000037,hematopoietic stem cell
LECT2,CL_0000182,hepatocyte
IL17F,CL_0000312,keratinocyte
TNFSF4,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB1,CL_0000384,ligament cell
IL6,CL_0002627,mature astrocyte
IFNB1,CL_0000148,melanocyte
IL6,CL_0002619,adult endothelial progenitor cell
CD40LG,CL_0000898,naive T cell
TGFB1,CL_0002092,bone marrow cell
CCL2,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
IL1B,CL_0000700,dopaminergic neuron
CSF2,CL_0000066,epithelial cell
TNF,CL_0000232,erythrocyte
CXCL8,CL_0000501,granulosa cell
CCL15,CL_0000576,monocyte
CCL18,CL_0000115,endothelial cell
CSF1,CL_0000233,platelet
TNF,CL_0000216,Sertoli cell
TNF,CL_0002608,hippocampal neuron
TNFSF4,CL_0000546,T-helper 2 cell
IL17A,CL_0000359,vascular associated smooth muscle cell
CSF3,CL_0000776,immature neutrophil
IL25,CL_0000359,vascular associated smooth muscle cell
IFN1,CL_0000738,leukocyte
CLCF1,CL_0000236,B cell
IL10,CL_0000912,helper T cell
IL15,CL_0000182,hepatocyte
IFNB1,CL_0000910,cytotoxic T cell
CCL24,CL_0000351,trophoblast cell
IL7,CL_0000115,endothelial cell
CXCL9,CL_0000771,eosinophil
TGFB,CL_0000556,megakaryocyte
IL15,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
THPO,CL_0000540,neuron
IL34,CL_0000775,neutrophil
CXCL12,CL_0000625,"CD8-positive, alpha-beta T cell"
RETN,CL_0000062,osteoblast
TGFB,CL_0000352,epiblast cell
IFNB1,CL_0000969,regulatory B cell
GDF15,CL_0000057,fibroblast
TGFB,CL_0000586,germ cell
PDGFA,CL_0000632,hepatic stellate cell
CCL25,CL_0000893,thymocyte
CXCL12,CL_0000023,oocyte
IL1A,CL_0002240,marrow fibroblast
IFNG,CL_0002586,retinal pigment epithelial cell
IL6,CL_0002544,aortic endothelial cell
CSF2,CL_0000782,myeloid dendritic cell
TGFB1,CL_0000214,synovial cell
IL10,CL_0000160,goblet cell
CCL6,CL_0000037,hematopoietic stem cell
IL3,CL_0000546,T-helper 2 cell
XCL1,CL_0000625,"CD8-positive, alpha-beta T cell"
IL17,CL_1001567,lung endothelial cell
IL1B,CL_0000148,melanocyte
TNF,CL_1000491,mesothelial cell of pleura
TGFB1,CL_1001609,muscle fibroblast
PDGFA,CL_0000127,astrocyte
IL6,CL_0000165,neuroendocrine cell
CCL2,CL_0000771,eosinophil
CSF1,CL_0000038,erythroid progenitor cell
IL18,CL_0000057,fibroblast
IL22,CL_0002563,intestinal epithelial cell
CSF1,CL_0000056,myoblast
FGF1,CL_0000062,osteoblast
CCL23,CL_0000115,endothelial cell
TGFB1,CL_0000188,skeletal muscle cell
CCL7,CL_0000127,astrocyte
IL1B,CL_0000145,professional antigen presenting cell
TGFB2,CL_0000034,stem cell
TGFB,CL_0000642,folliculostellate cell
CXCL12,CL_0000094,granulocyte
IL10,CL_0000902,induced T-regulatory cell
SPP1,CL_0000312,keratinocyte
IL6,CL_0000646,basal cell
IL17,CL_0000912,helper T cell
IL35,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
OSM,CL_0000115,endothelial cell
TGFB3,CL_0000134,mesenchymal cell
IFNG,CL_0002477,adipose macrophage
TNF,CL_0002366,myometrial cell
EPO,CL_0002609,neuron of cerebral cortex
EBI3,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB,CL_0000451,dendritic cell
IL21,CL_0000969,regulatory B cell
IL1,CL_0000557,granulocyte monocyte progenitor cell
TGFB,CL_0000632,hepatic stellate cell
HGF,CL_1000497,kidney cell
CCL4,CL_0000097,mast cell
IFNG,CL_0000101,sensory neuron
TNFSF15,CL_0000214,synovial cell
IFNG,CL_0000968,Be cell
CD40LG,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
IL6,CL_0000148,melanocyte
CCL4,CL_0000775,neutrophil
IL21,CL_0000990,conventional dendritic cell
CXCL12,CL_0000060,odontoblast
IL17A,CL_0000625,"CD8-positive, alpha-beta T cell"
IL10,CL_0000809,"double-positive, alpha-beta thymocyte"
CX3CL1,CL_0000092,osteoclast
IL1B,CL_0000581,peritoneal macrophage
IL27,CL_0002038,T follicular helper cell
IFNG,CL_0000453,Langerhans cell
IL4,CL_0000540,neuron
IL18,CL_0000138,chondrocyte
IFNG,CL_0000062,osteoblast
CD40LG,CL_0000115,endothelial cell
CCL2,CL_0002397,"CD14-positive, CD16-positive monocyte"
IFNG,CL_0000795,"CD8-positive, alpha-beta regulatory T cell"
TNF,CL_0002064,pancreatic acinar cell
IL17,CL_0002139,endothelial cell of vascular tree
IL9,CL_0000771,eosinophil
PDGFB,CL_0000037,hematopoietic stem cell
TNFSF15,CL_0000235,macrophage
IFNB1,CL_0000653,glomerular visceral epithelial cell
EGF,CL_0000623,natural killer cell
CCL5,CL_0000746,cardiac muscle cell
PPBP,CL_0000625,"CD8-positive, alpha-beta T cell"
TGFB1,CL_0000222,mesodermal cell
IL18,CL_0000187,muscle cell
IL12,CL_0002092,bone marrow cell
IL21,CL_0000897,"CD4-positive, alpha-beta memory T cell"
TGFB1,CL_0002609,neuron of cerebral cortex
IFNG,CL_0000158,Clara cell
TNFSF9,CL_0000451,dendritic cell
IFNG,CL_0000815,regulatory T cell
IFN1,CL_0000232,erythrocyte
SPP1,CL_0000192,smooth muscle cell
TNF,CL_1000497,kidney cell
IL2,CL_0002343,decidual natural killer cell
CXCL1,CL_0002138,endothelial cell of lymphatic vessel
IL27,CL_0000814,mature NK T cell
IL10,CL_0000784,plasmacytoid dendritic cell
CSF2,CL_0000134,mesenchymal cell
FGF2,CL_0007010,preosteoblast
TGF,CL_0000066,epithelial cell
TNF,CL_0000101,sensory neuron
TGFB1,CL_0002539,aortic smooth muscle cell
EGF,CL_1001319,bladder cell
IL5,CL_0000746,cardiac muscle cell
IFN1,CL_0000037,hematopoietic stem cell
IL1B,CL_0002062,type I pneumocyte
CCL21,CL_0000542,lymphocyte
IL4,CL_0002629,mature microglial cell
TNFSF13,CL_0000236,B cell
TGFB,CL_0000060,odontoblast
IL7,CL_0000581,peritoneal macrophage
OSM,CL_0000499,stromal cell
TGFA,CL_0000125,glial cell
IL17A,CL_0000134,mesenchymal cell
CCL20,CL_0000545,T-helper 1 cell
TGFA,CL_0000499,stromal cell
IL10,CL_0000182,hepatocyte
TNF,CL_0000100,motor neuron
IL15,CL_0000451,dendritic cell
IL17F,CL_0000062,osteoblast
IL6,CL_0002139,endothelial cell of vascular tree
CCL5,CL_0000499,stromal cell
TGFB1,CL_0002543,vein endothelial cell
IL6,CL_0000015,male germ cell
CXCL2,CL_0000746,cardiac muscle cell
LIF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CX3CL1,CL_0002322,embryonic stem cell
CCL17,CL_0000178,Leydig cell
THPO,CL_0000097,mast cell
IFNA,CL_0000115,endothelial cell
TGFB,CL_0000595,enucleate erythrocyte
TNF,CL_0002621,gingival epithelial cell
CCL20,CL_0002563,intestinal epithelial cell
IL12,CL_0000893,thymocyte
IL1A,CL_0000542,lymphocyte
TDGF1P3,CL_0002322,embryonic stem cell
FGF2,CL_0002138,endothelial cell of lymphatic vessel
TNF,CL_0000814,mature NK T cell
IL1,CL_0000216,Sertoli cell
IL13,CL_0000135,fibrocyte
IFNG,CL_1001319,bladder cell
IL21,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
TNF,CL_0000148,melanocyte
IL33,CL_0000890,alternatively activated macrophage
IL1B,CL_0002328,bronchial epithelial cell
CXCL9,CL_0000624,"CD4-positive, alpha-beta T cell"
IL17A,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
FGF2,CL_0002097,cortical cell of adrenal gland
IL20,CL_0000115,endothelial cell
IL18,CL_0000235,macrophage
IL1A,CL_0000097,mast cell
IL27,CL_0000899,T-helper 17 cell
IL10,CL_0000771,eosinophil
IFNG,CL_0000038,erythroid progenitor cell
CXCL10,CL_0000115,endothelial cell
IL33,CL_0000092,osteoclast
IL27,CL_0000775,neutrophil
CXCL10,CL_0000057,fibroblast
IL12,CL_0000092,osteoclast
IL10,CL_0000899,T-helper 17 cell
IFNB1,CL_0000899,T-helper 17 cell
IL27,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL3,CL_0000037,hematopoietic stem cell
IL35,CL_0000899,T-helper 17 cell
IL16,CL_0000542,lymphocyte
IL4,CL_0000453,Langerhans cell
TGFB,CL_0002231,epithelial cell of prostate
IL25,CL_0000084,T cell
IL10,CL_0000192,smooth muscle cell
IL13,CL_0000738,leukocyte
IL23,CL_0000815,regulatory T cell
FGF1,CL_0000182,hepatocyte
IL4,CL_0000899,T-helper 17 cell
CCL5,CL_0000235,macrophage
TGFB,CL_0000097,mast cell
TNF,CL_0000351,trophoblast cell
CCL20,CL_0000738,leukocyte
IL15,CL_0000136,fat cell
TGFB1,CL_0000023,oocyte
IL6,CL_0000514,smooth muscle myoblast
GDF15,CL_0000084,T cell
TNFSF9,CL_0000092,osteoclast
TGFB1,CL_0000824,mature natural killer cell
CSF3,CL_0000556,megakaryocyte
IL1RN,CL_0000057,fibroblast
IL1,CL_0000136,fat cell
IFNG,CL_0000192,smooth muscle cell
CXCL12,CL_0000763,myeloid cell
IL15,CL_0000911,effector T cell
IL33,CL_0000136,fat cell
TGFB1,CL_0000763,myeloid cell
CSF1,CL_0000624,"CD4-positive, alpha-beta T cell"
EGF,CL_0000312,keratinocyte
IL7,CL_0000826,pro-B cell
TGFB1,CL_0002322,embryonic stem cell
IL6,CL_0002608,hippocampal neuron
IL10,CL_0002629,mature microglial cell
IL2,CL_0000057,fibroblast
IL10,CL_0000096,mature neutrophil
CXCL8,CL_0000236,B cell
IL22,CL_0000771,eosinophil
CSF3,CL_0000625,"CD8-positive, alpha-beta T cell"
IFNB1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL17A,CL_0000092,osteoclast
IL18,CL_0000160,goblet cell
IFNG,CL_0000122,stellate cell
IFNB1,CL_0000192,smooth muscle cell
CXCL10,CL_0000899,T-helper 17 cell
FGF1,CL_0002327,mammary epithelial cell
IL4,CL_0002334,preadipocyte
IL22,CL_0000307,tracheal epithelial cell
IL6,CL_0000322,pneumocyte
TNFSF8,CL_0000771,eosinophil
IFNG,CL_0000899,T-helper 17 cell
CCL6,CL_0000738,leukocyte
IL25,CL_0000899,T-helper 17 cell
IFNG,CL_0000145,professional antigen presenting cell
TGFB3,CL_0000066,epithelial cell
IL1,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB1,CL_0000622,acinar cell
IL35,CL_0000451,dendritic cell
IL12,CL_0000115,endothelial cell
IFNG,CL_0002061,T-helper 9 cell
IFNB1,CL_0000646,basal cell
LECT2,CL_0000115,endothelial cell
IL1A,CL_0000545,T-helper 1 cell
CCL20,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
IL17A,CL_0000082,epithelial cell of lung
IL22,CL_0000082,epithelial cell of lung
IL27,CL_0002061,T-helper 9 cell
EPO,CL_0000542,lymphocyte
EPO,CL_0000235,macrophage
TGFB2,CL_0000738,leukocyte
IFNL2,CL_0000771,eosinophil
CD40LG,CL_0000815,regulatory T cell
IL19,CL_0000738,leukocyte
IL24,CL_0002322,embryonic stem cell
IL21,CL_0000814,mature NK T cell
IL1RN,CL_0000218,myelinating Schwann cell
IFNL3,CL_0000084,T cell
IFNL1,CL_0000182,hepatocyte
IL3,CL_0000138,chondrocyte
IL6,CL_0000902,induced T-regulatory cell
CXCL10,CL_0000917,Tc1 cell
IFNA,CL_0000136,fat cell
LTA,CL_0000682,M cell
IL11,CL_0000235,macrophage
CXCL12,CL_0000097,mast cell
IL1RN,CL_0000097,mast cell
CSF3,CL_0000545,T-helper 1 cell
IL1B,CL_0000162,parietal cell
TGFB1,CL_0000902,induced T-regulatory cell
IL6,CL_0000912,helper T cell
CSF3,CL_0000581,peritoneal macrophage
CXCL10,CL_0002563,intestinal epithelial cell
IL13,CL_0000540,neuron
EPO,CL_0000547,proerythroblast
TGFB,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
TGFB,CL_0002328,bronchial epithelial cell
TNF,CL_0002097,cortical cell of adrenal gland
CSF3,CL_0000786,plasma cell
IL1RN,CL_0000322,pneumocyte
IL10,CL_0000233,platelet
CSF2,CL_0000863,inflammatory macrophage
IL1B,CL_0009004,retinal cell
IFNL2,CL_0000623,natural killer cell
IFNB1,CL_0000700,dopaminergic neuron
CXCL12,CL_0000501,granulosa cell
CXCL12,CL_0000182,hepatocyte
IL35,CL_0000624,"CD4-positive, alpha-beta T cell"
IL32,CL_0000451,dendritic cell
IFNG,CL_0000213,lining cell
IFN1,CL_0000764,erythroid lineage cell
IL12,CL_0000081,blood cell
TNFSF11,CL_0000743,hypertrophic chondrocyte
IL17,CL_0000813,memory T cell
IL17,CL_0000182,hepatocyte
CX3CL1,CL_0000187,muscle cell
EGF,CL_0000023,oocyte
IL4,CL_0000442,follicular dendritic cell
IL35,CL_0000084,T cell
IL17,CL_0000902,induced T-regulatory cell
IL21,CL_0002061,T-helper 9 cell
IL15,CL_0000763,myeloid cell
TGFA,CL_0000584,enterocyte
IL27,CL_0000233,platelet
IL4,CL_0000990,conventional dendritic cell
CSF1,CL_0002397,"CD14-positive, CD16-positive monocyte"
IL4,CL_0000902,induced T-regulatory cell
IL17A,CL_0000583,alveolar macrophage
IL10,CL_0000903,natural T-regulatory cell
IFNL3,CL_0000815,regulatory T cell
IL6,CL_0000844,germinal center B cell
IL21,CL_0000312,keratinocyte
TGFB,CL_0000125,glial cell
IFNG,CL_0000319,mucus secreting cell
MIF,CL_0000540,neuron
CCL25,CL_0000625,"CD8-positive, alpha-beta T cell"
IFN1,CL_0000233,platelet
CSF1,CL_0000084,T cell
HGF,CL_0000775,neutrophil
SPP1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IFNG,CL_0000178,Leydig cell
CXCL14,CL_0002319,neural cell
TNF,CL_0000595,enucleate erythrocyte
IL1RN,CL_0000893,thymocyte
TGFB1,CL_0000826,pro-B cell
IL4,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
IL18,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
EPO,CL_0000127,astrocyte
TGF,CL_0000624,"CD4-positive, alpha-beta T cell"
TGFB,CL_0000162,parietal cell
IL25,CL_0000767,basophil
CCL2,CL_0000831,mast cell progenitor
IL33,CL_0000127,astrocyte
IL6,CL_0000232,erythrocyte
IL22,CL_0000738,leukocyte
TGFB1,CL_1001573,nasopharyngeal epithelial cell
CCL9,CL_0000136,fat cell
IFNG,CL_0002627,mature astrocyte
IL27,CL_0000815,regulatory T cell
TGFB,CL_0000514,smooth muscle myoblast
IL1B,CL_0000091,Kupffer cell
IL24,CL_0000542,lymphocyte
CCL2,CL_0000127,astrocyte
CXCL1,CL_0000235,macrophage
IL24,CL_0000359,vascular associated smooth muscle cell
TGFB,CL_0000824,mature natural killer cell
EGF,CL_0000136,fat cell
CCL2,CL_0000187,muscle cell
TGF,CL_0000084,T cell
CD40LG,CL_0000845,marginal zone B cell
CCL18,CL_0000817,precursor B cell
IL5,CL_0000499,stromal cell
CSF2,CL_0000057,fibroblast
IL18,CL_0000182,hepatocyte
IFNA,CL_0000351,trophoblast cell
FGF1,CL_0002334,preadipocyte
IL7,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
TNFSF8,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNL3,CL_0000235,macrophage
IL9,CL_0000066,epithelial cell
CCL2,CL_0000113,mononuclear phagocyte
IL10,CL_0000782,myeloid dendritic cell
EPO,CL_0000549,basophilic erythroblast
IL22,CL_0000169,type B pancreatic cell
LECT2,CL_0000235,macrophage
FGF2,CL_0000218,myelinating Schwann cell
TGFB,CL_0002489,double negative thymocyte
CXCL9,CL_0000066,epithelial cell
IL7,CL_0000499,stromal cell
HGF,CL_0000062,osteoblast
IL10,CL_0000062,osteoblast
EPO,CL_0000094,granulocyte
TNF,CL_0000545,T-helper 1 cell
TNFSF9,CL_0000813,memory T cell
IL11,CL_0000546,T-helper 2 cell
IL17,CL_0002372,myotube
IL1RN,CL_0002609,neuron of cerebral cortex
IL17,CL_0000362,epidermal cell
TGFB1,CL_1000488,cholangiocyte
IL12,CL_0002343,decidual natural killer cell
PDGFA,CL_0000061,cementoblast
IL12,CL_0000097,mast cell
IL17,CL_0000056,myoblast
IL17A,CL_0000062,osteoblast
TGFB2,CL_0000082,epithelial cell of lung
EPO,CL_0000096,mature neutrophil
IFNG,CL_0000136,fat cell
IL9,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL1RN,CL_0000187,muscle cell
IL13,CL_0000232,erythrocyte
TGFB,CL_0000814,mature NK T cell
LIF,CL_0000746,cardiac muscle cell
IL25,CL_0000624,"CD4-positive, alpha-beta T cell"
TNF,CL_0000575,corneal epithelial cell
IL4,CL_0000588,odontoclast
CCL5,CL_0000911,effector T cell
LIF,CL_0000210,photoreceptor cell
PF4,CL_0000540,neuron
CXCL11,CL_0000115,endothelial cell
IL6,CL_0000094,granulocyte
TNFSF15,CL_0000902,induced T-regulatory cell
HGF,CL_0000365,zygote
IL17A,CL_0000096,mature neutrophil
IL27,CL_0000129,microglial cell
CXCL1,CL_0000034,stem cell
TGFB2,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1RN,CL_0000860,classical monocyte
IL10,CL_0000091,Kupffer cell
MIF,CL_0000546,T-helper 2 cell
IL31,CL_0000312,keratinocyte
IL6,CL_0000890,alternatively activated macrophage
IL35,CL_0000115,endothelial cell
IL27,CL_0000322,pneumocyte
CXCL2,CL_0000115,endothelial cell
IL1RN,CL_0000669,pericyte cell
IL1B,CL_0000388,tendon cell
CXCL1,CL_0002627,mature astrocyte
IL21,CL_0000499,stromal cell
TGFB,CL_0002138,endothelial cell of lymphatic vessel
IL21,CL_0000824,mature natural killer cell
CXCL10,CL_0000540,neuron
FGF2,CL_0000632,hepatic stellate cell
TGFB2,CL_0000740,retinal ganglion cell
IL12,CL_0000169,type B pancreatic cell
IL22,CL_0000213,lining cell
CCL3,CL_0000038,erythroid progenitor cell
EPO,CL_0000182,hepatocyte
CCL26,CL_0000127,astrocyte
TGFB1,CL_0000542,lymphocyte
CXCL8,CL_0000232,erythrocyte
TNF,CL_0000586,germ cell
IL34,CL_0000863,inflammatory macrophage
IL1A,CL_0000817,precursor B cell
TGFB,CL_0000098,sensory epithelial cell
IL7,CL_0000235,macrophage
IL7,CL_0000899,T-helper 17 cell
IL17F,CL_0000145,professional antigen presenting cell
TNF,CL_0000617,GABAergic neuron
IL7,CL_0000813,memory T cell
TGFB1,CL_0000911,effector T cell
CSF3,CL_0002372,myotube
IFNG,CL_0002343,decidual natural killer cell
HGF,CL_0000100,motor neuron
IFNA6,CL_0000625,"CD8-positive, alpha-beta T cell"
IL1RN,CL_0000916,dendritic epidermal T cell
TGFB2,CL_0000062,osteoblast
TGFB,CL_0000362,epidermal cell
CXCL3,CL_0000084,T cell
IFNG,CL_0002088,interstitial cell of Cajal
TGFB1,CL_0002629,mature microglial cell
CCL5,CL_0000540,neuron
CCL26,CL_0000625,"CD8-positive, alpha-beta T cell"
IL10,CL_0000136,fat cell
TNFSF13B,CL_0000084,T cell
TNFSF9,CL_0000236,B cell
IL10,CL_0000911,effector T cell
IL12A,CL_0000084,T cell
IL27,CL_0002128,Tc17 cell
IL17A,CL_0009004,retinal cell
CCL13,CL_0000771,eosinophil
IFNA,CL_0000125,glial cell
IL18,CL_0000540,neuron
CXCL11,CL_0000451,dendritic cell
TGFB,CL_0000135,fibrocyte
HGF,CL_0000359,vascular associated smooth muscle cell
IL33,CL_0000819,B-1 B cell
IFNB1,CL_0000129,microglial cell
IL17,CL_0000911,effector T cell
TGFB,CL_0000622,acinar cell
IL34,CL_0000136,fat cell
IL4,CL_0000889,myeloid suppressor cell
TGFB3,CL_0000135,fibrocyte
CXCL9,CL_0000545,T-helper 1 cell
CSF3,CL_0000187,muscle cell
CSF1,CL_0000232,erythrocyte
IL6,CL_0000192,smooth muscle cell
CXCL11,CL_0000084,T cell
CXCL12,CL_0002436,mature CD4 single-positive thymocyte
IL10,CL_0000898,naive T cell
IFNL3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TNFSF14,CL_0000775,neutrophil
CXCL16,CL_0000066,epithelial cell
KITLG,CL_0000501,granulosa cell
IL3,CL_0000540,neuron
CD40LG,CL_0000909,"CD8-positive, alpha-beta memory T cell"
IL10,CL_0000442,follicular dendritic cell
TGFB2,CL_0000542,lymphocyte
TGFB,CL_0000863,inflammatory macrophage
IFNG,CL_1000488,cholangiocyte
CCL6,CL_0000235,macrophage
IL12,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL35,CL_0000233,platelet
IL1B,CL_0000362,epidermal cell
IL33,CL_0000057,fibroblast
GDF15,CL_0000233,platelet
IFNG,CL_0000096,mature neutrophil
IL1RN,CL_0000129,microglial cell
GDF15,CL_0000775,neutrophil
CCL1,CL_0000235,macrophage
IL33,CL_0000187,muscle cell
CCL25,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB,CL_0000160,goblet cell
IL23,CL_0000312,keratinocyte
CXCL1,CL_0000128,oligodendrocyte
CCL2,CL_0000540,neuron
TGFB,CL_0000023,oocyte
IL12,CL_0000581,peritoneal macrophage
CXCL13,CL_0000084,T cell
IL10,CL_0000819,B-1 B cell
CCL26,CL_0000235,macrophage
CCL2,CL_0000650,mesangial cell
IL7,CL_0000738,leukocyte
CCL4,CL_0000738,leukocyte
CCL26,CL_0000084,T cell
CXCL8,CL_0000540,neuron
IFN1,CL_0000576,monocyte
CCL19,CL_0000235,macrophage
IL2,CL_0000814,mature NK T cell
TGF,CL_0000182,hepatocyte
TGFB,CL_0000836,promyelocyte
IL21,CL_0000738,leukocyte
CXCL6,CL_0000738,leukocyte
CXCL12,CL_0000129,microglial cell
SPP1,CL_0000236,B cell
LTA,CL_0000442,follicular dendritic cell
IL2,CL_0000813,memory T cell
IL17,CL_0000542,lymphocyte
IL10,CL_0000232,erythrocyte
IL1,CL_0000556,megakaryocyte
IL1B,CL_0000094,granulocyte
PDGF,CL_0000178,Leydig cell
CCL4,CL_0000233,platelet
TGFB,CL_0000216,Sertoli cell
IL4,CL_0000037,hematopoietic stem cell
IL1,CL_0000129,microglial cell
IL31,CL_0000546,T-helper 2 cell
TGF,CL_0000312,keratinocyte
TGFB,CL_0000646,basal cell
PDGF,CL_0000128,oligodendrocyte
PDGFA,CL_0000192,smooth muscle cell
CXCL16,CL_0002539,aortic smooth muscle cell
CCL1,CL_0000084,T cell
FGF2,CL_0000100,motor neuron
IL22,CL_0000545,T-helper 1 cell
PPBP,CL_0000235,macrophage
IL25,CL_0000115,endothelial cell
IL6,CL_0002327,mammary epithelial cell
CSF3,CL_0000023,oocyte
IL11,CL_0000066,epithelial cell
IL17A,CL_0002368,respiratory epithelial cell
TGFB,CL_0000047,neuronal stem cell
IL17A,CL_0000160,goblet cell
IFNA,CL_0000312,keratinocyte
FGF2,CL_0000048,multi fate stem cell
CXCL13,CL_0000819,B-1 B cell
TGFB,CL_0000122,stellate cell
TGFB1,CL_0000059,ameloblast
IL4,CL_0000647,multinucleated giant cell
CXCL13,CL_0000542,lymphocyte
CCL1,CL_0000542,lymphocyte
IL6,CL_0000771,eosinophil
TGFB1,CL_0000646,basal cell
CCL11,CL_0000084,T cell
IL3,CL_0000623,natural killer cell
CXCL12,CL_0000047,neuronal stem cell
CD40LG,CL_0000771,eosinophil
IL17A,CL_0000624,"CD4-positive, alpha-beta T cell"
FGF2,CL_0002619,adult endothelial progenitor cell
KITLG,CL_0002092,bone marrow cell
IL1RN,CL_0000624,"CD4-positive, alpha-beta T cell"
CSF3,CL_0000236,B cell
OSM,CL_0000235,macrophage
TGFB,CL_0000132,corneal endothelial cell
IL6,CL_0000100,motor neuron
TNFSF9,CL_0000145,professional antigen presenting cell
IL33,CL_0000583,alveolar macrophage
IL6,CL_0000653,glomerular visceral epithelial cell
IL32,CL_0000115,endothelial cell
TGF,CL_0000210,photoreceptor cell
IL27,CL_0000062,osteoblast
IL1B,CL_0002319,neural cell
IL32,CL_0000232,erythrocyte
TNF,CL_0000782,myeloid dendritic cell
IL16,CL_0000540,neuron
CCL2,CL_0000145,professional antigen presenting cell
IL7,CL_0002404,fetal thymocyte
IL25,CL_0000545,T-helper 1 cell
CXCL10,CL_0000359,vascular associated smooth muscle cell
IL10,CL_0000092,osteoclast
CX3CL1,CL_0000771,eosinophil
CCL26,CL_0000653,glomerular visceral epithelial cell
RETN,CL_0000056,myoblast
IL5,CL_0000669,pericyte cell
CX3CL1,CL_0000863,inflammatory macrophage
THPO,CL_0000837,hematopoietic multipotent progenitor cell
IL23,CL_0000546,T-helper 2 cell
CSF1,CL_0000384,ligament cell
CCL26,CL_0000898,naive T cell
CCL5,CL_0000092,osteoclast
IL15,CL_0000057,fibroblast
TNF,CL_1001607,articular chondrocyte
TGFB2,CL_0002608,hippocampal neuron
TGFA,CL_0000647,multinucleated giant cell
IL24,CL_0000236,B cell
TGFB,CL_0000065,ependymal cell
CCL22,CL_0000893,thymocyte
IL16,CL_0000738,leukocyte
FGF2,CL_0002311,mammotroph
IL10,CL_0000814,mature NK T cell
MIF,CL_0000129,microglial cell
IL27,CL_0000785,mature B cell
IL10,CL_0000148,melanocyte
TNFSF13B,CL_0000775,neutrophil
CXCL16,CL_0000019,sperm
IL17F,CL_0000775,neutrophil
FGF2,CL_0000351,trophoblast cell
IL6,CL_0000911,effector T cell
FGF2,CL_0000855,sensory hair cell
TGFB1,CL_0000613,basophil progenitor cell
IL33,CL_0000148,melanocyte
CXCL14,CL_0000218,myelinating Schwann cell
TNFSF9,CL_0000775,neutrophil
IL17F,CL_0000115,endothelial cell
CXCL8,CL_0000056,myoblast
IL17,CL_0000138,chondrocyte
IL12,CL_0000862,suppressor macrophage
CCL18,CL_0000738,leukocyte
IL20,CL_0000092,osteoclast
HGF,CL_0000576,monocyte
IL15,CL_0002372,myotube
IL11,CL_0002092,bone marrow cell
CXCL12,CL_1000413,endothelial cell of artery
IL1,CL_0000784,plasmacytoid dendritic cell
IL11,CL_0000097,mast cell
IL1B,CL_0000100,motor neuron
TNF,CL_0000899,T-helper 17 cell
LECT2,CL_0000540,neuron
IL12B,CL_0000451,dendritic cell
CXCL5,CL_0000057,fibroblast
IL24,CL_0000763,myeloid cell
IL33,CL_0000912,helper T cell
IL10,CL_0000893,thymocyte
IL7,CL_0000023,oocyte
CSF2,CL_0000040,monoblast
TGFB2,CL_0000575,corneal epithelial cell
IL6,CL_0002248,pluripotent stem cell
PDGFB,CL_0000540,neuron
GDF15,CL_0000558,reticulocyte
IFNG,CL_0002198,oncocyte
CCL18,CL_0000235,macrophage
CXCL8,CL_0002619,adult endothelial progenitor cell
IL7,CL_0000808,DN4 thymocyte
TNF,CL_0000898,naive T cell
CCL26,CL_0000647,multinucleated giant cell
MIF,CL_0000623,natural killer cell
CSF3,CL_0000584,enterocyte
PDGF,CL_0002334,preadipocyte
IL7,CL_0000059,ameloblast
PF4,CL_0000232,erythrocyte
CSF1,CL_0000062,osteoblast
IL27,CL_0000771,eosinophil
GDF15,CL_0000353,blastoderm cell
GDF15,CL_0000374,trichogen cell
CXCL14,CL_0000136,fat cell
CCL26,CL_0000034,stem cell
IL22,CL_0000236,B cell
