cytokine,cell,Cell ontology Label
FGF1,CL_0000115,endothelial cell
TGFB,CL_0000129,microglial cell
IL12,CL_0000898,naive T cell
IFNA,CL_0000182,hepatocyte
TGFA,CL_0000312,keratinocyte
TGFB1,CL_0000359,vascular associated smooth muscle cell
PF4,CL_0000115,endothelial cell
TNF,CL_0000134,mesenchymal cell
IL11,CL_0000034,stem cell
MIF,CL_0000235,macrophage
IL6,CL_0000581,peritoneal macrophage
TGFB,CL_0000499,stromal cell
IFNA,CL_0000233,platelet
IL4,CL_0000763,myeloid cell
IL1,CL_0000214,synovial cell
IL18,CL_0000546,T-helper 2 cell
CXCL2,CL_0000738,leukocyte
CX3CL1,CL_0000129,microglial cell
IL12,CL_0000738,leukocyte
IL1B,CL_0000136,fat cell
CSF3,CL_0000049,common myeloid progenitor
IL13,CL_0000057,fibroblast
IL21,CL_0000542,lymphocyte
TNF,CL_0000763,myeloid cell
CX3CL1,CL_0000233,platelet
IL1A,CL_0000182,hepatocyte
IL10,CL_0000910,cytotoxic T cell
TNFSF9,CL_0000624,"CD4-positive, alpha-beta T cell"
IFNG,CL_0000134,mesenchymal cell
IFNG,CL_0000232,erythrocyte
CXCL10,CL_0000738,leukocyte
IFNG,CL_0000556,megakaryocyte
IL6,CL_0000623,natural killer cell
TGFB1,CL_0002139,endothelial cell of vascular tree
CXCL12,CL_0002619,adult endothelial progenitor cell
CSF3,CL_0000835,myeloblast
IL33,CL_0000115,endothelial cell
CSF1,CL_0002092,bone marrow cell
IFNG,CL_0000233,platelet
LTA,CL_0000084,T cell
IL22,CL_0000066,epithelial cell
CSF2,CL_0000542,lymphocyte
CXCL8,CL_0000499,stromal cell
TNF,CL_0000653,glomerular visceral epithelial cell
SPP1,CL_0000738,leukocyte
TGFB1,CL_0000056,myoblast
IL17,CL_0000738,leukocyte
CCL3,CL_0000235,macrophage
TNF,CL_0000113,mononuclear phagocyte
TNF,CL_0000091,Kupffer cell
TNF,CL_0000034,stem cell
IL23,CL_0000092,osteoclast
IL1B,CL_0000899,T-helper 17 cell
CD40LG,CL_0000235,macrophage
CSF2,CL_0000034,stem cell
FGF2,CL_0000214,synovial cell
CCL9,CL_0000182,hepatocyte
CSF2,CL_0000129,microglial cell
TNF,CL_0000218,myelinating Schwann cell
IL6,CL_0000056,myoblast
IFNB1,CL_0000542,lymphocyte
IL4,CL_0000182,hepatocyte
CXCL12,CL_0000169,type B pancreatic cell
CCL3,CL_0000738,leukocyte
FGF2,CL_0000047,neuronal stem cell
CD40LG,CL_0000542,lymphocyte
IFNB1,CL_0000624,"CD4-positive, alpha-beta T cell"
IL21,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,CL_0002622,prostate stromal cell
TGFB,CL_0000763,myeloid cell
IFNB1,CL_0000775,neutrophil
IL17A,CL_0000312,keratinocyte
CSF2,CL_0000784,plasmacytoid dendritic cell
CXCL8,CL_0000312,keratinocyte
TGFB1,CL_0000556,megakaryocyte
TNFSF4,CL_0000624,"CD4-positive, alpha-beta T cell"
IL4,CL_0000775,neutrophil
IL1B,CL_0000233,platelet
TNF,CL_0000650,mesangial cell
IFNG,CL_0000782,myeloid dendritic cell
IL6,CL_0000019,sperm
IL10,CL_0000451,dendritic cell
CXCL8,CL_0000094,granulocyte
IL6,CL_1000488,cholangiocyte
CXCL8,CL_0000037,hematopoietic stem cell
IL21,CL_0000624,"CD4-positive, alpha-beta T cell"
IL5,CL_0000624,"CD4-positive, alpha-beta T cell"
CCL2,CL_0000546,T-helper 2 cell
IL4,CL_0000623,natural killer cell
IL1B,CL_0000583,alveolar macrophage
IFN1,CL_0000623,natural killer cell
CSF3,CL_0000746,cardiac muscle cell
IL3,CL_0000235,macrophage
IL1,CL_0000650,mesangial cell
TNF,CL_0000192,smooth muscle cell
IL1B,CL_1001607,articular chondrocyte
FGF2,CL_0002608,hippocampal neuron
CSF1,CL_0000540,neuron
IL15,CL_0000545,T-helper 1 cell
TNFSF15,CL_0000084,T cell
CCL22,CL_0000084,T cell
IL27,CL_0000084,T cell
CSF2,CL_0000312,keratinocyte
CXCL10,CL_0000771,eosinophil
IL1B,CL_0000192,smooth muscle cell
TGFB1,CL_0002327,mammary epithelial cell
IL1,CL_0000169,type B pancreatic cell
IFN1,CL_0000545,T-helper 1 cell
IL33,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,CL_0000235,macrophage
IL4,CL_0000910,cytotoxic T cell
TGFB2,CL_0000115,endothelial cell
IFNB1,CL_0000545,T-helper 1 cell
FGF2,CL_0002334,preadipocyte
TNF,CL_0000910,cytotoxic T cell
IL31,CL_0000101,sensory neuron
CXCL12,CL_0000037,hematopoietic stem cell
LIF,CL_0000235,macrophage
CCL24,CL_0000771,eosinophil
IFNG,CL_0000056,myoblast
IL33,CL_0000623,natural killer cell
TGFB,CL_0002620,skin fibroblast
CXCL12,CL_0000236,B cell
IL27,CL_0000235,macrophage
IFNB1,CL_0000057,fibroblast
IL18,CL_0000771,eosinophil
TGFB1,CL_0000182,hepatocyte
IL13,CL_0002328,bronchial epithelial cell
IL1B,CL_0000236,B cell
TNF,CL_0002372,myotube
CXCL8,CL_0000084,T cell
TNF,CL_0002629,mature microglial cell
IL7,CL_0000898,naive T cell
IL1A,CL_0000235,macrophage
IL17A,CL_0000136,fat cell
IL4,CL_0000788,naive B cell
CCL2,CL_0000092,osteoclast
HGF,CL_0002563,intestinal epithelial cell
IL17,CL_0000540,neuron
TGFB1,CL_0000746,cardiac muscle cell
CCL2,CL_0000236,B cell
TGFB1,CL_0002328,bronchial epithelial cell
IL11,CL_0000233,platelet
PDGF,CL_0000650,mesangial cell
IL4,CL_0000214,synovial cell
TGFB1,CL_0000187,muscle cell
CCL9,CL_0000624,"CD4-positive, alpha-beta T cell"
IL3,CL_0000771,eosinophil
CXCL1,CL_0000576,monocyte
PDGFB,CL_0000669,pericyte cell
IFNG,CL_0000584,enterocyte
IL1A,CL_0000233,platelet
HGF,CL_0000034,stem cell
IL17A,CL_0000746,cardiac muscle cell
CCL4,CL_0000037,hematopoietic stem cell
FGF2,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
TGFB,CL_0000233,platelet
CCL3,CL_0000084,T cell
IL12B,CL_0000084,T cell
IL21,CL_0000786,plasma cell
IL9,CL_0000097,mast cell
GDF15,CL_0000187,muscle cell
TGFB3,CL_0000138,chondrocyte
IFNA,CL_0000499,stromal cell
IL4,CL_0000863,inflammatory macrophage
CXCL12,CL_0000893,thymocyte
CCL3,CL_0000775,neutrophil
CSF3,CL_0000092,osteoclast
TGFB,CL_0000815,regulatory T cell
IL1A,CL_0000138,chondrocyte
IFNG,CL_0002139,endothelial cell of vascular tree
IFNB1,CL_0000738,leukocyte
IL2,CL_0000912,helper T cell
TNFSF9,CL_0000623,natural killer cell
CCL17,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL26,CL_0000540,neuron
FGF2,CL_0000132,corneal endothelial cell
CCL22,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL6,CL_0000546,T-helper 2 cell
IL11,CL_0000556,megakaryocyte
TGFB,CL_0000077,mesothelial cell
EGF,CL_0000138,chondrocyte
IL23,CL_0000084,T cell
TGFB,CL_0000746,cardiac muscle cell
FGF1,CL_0000127,astrocyte
TGFB,CL_0000540,neuron
IFN1,CL_0000236,B cell
CCL5,CL_0000738,leukocyte
IL4,CL_0000893,thymocyte
TGFB1,CL_1001607,articular chondrocyte
CSF2,CL_0000081,blood cell
IL15,CL_0000824,mature natural killer cell
TGFB1,CL_0000322,pneumocyte
IL13,CL_0000066,epithelial cell
CX3CL1,CL_0000576,monocyte
CXCL12,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
IFN1,CL_0000451,dendritic cell
IL6,CL_0000312,keratinocyte
PDGF,CL_0000359,vascular associated smooth muscle cell
IL12,CL_0000912,helper T cell
CXCL12,CL_0000576,monocyte
IL6,CL_0000451,dendritic cell
EGF,CL_0000362,epidermal cell
CCL2,CL_0000129,microglial cell
