cytokine,cell
TGFB1,CL_0002328
IL11,CL_0000233
PDGF,CL_0000650
IL4,CL_0000214
TGFB1,CL_0000187
CCL9,CL_0000624
IL3,CL_0000771
CXCL1,CL_0000576
PDGFB,CL_0000669
IFNG,CL_0000584
IL1A,CL_0000233
HGF,CL_0000034
IL17A,CL_0000746
CCL4,CL_0000037
FGF2,CL_0000338
TGFB,CL_0000233
CCL3,CL_0000084
IL12B,CL_0000084
IL21,CL_0000786
IL9,CL_0000097
GDF15,CL_0000187
TGFB3,CL_0000138
IFNA,CL_0000499
IL4,CL_0000863
CXCL12,CL_0000893
CCL3,CL_0000775
CSF3,CL_0000092
TGFB,CL_0000815
IL1A,CL_0000138
IFNG,CL_0002139
IFNB1,CL_0000738
IL2,CL_0000912
TNFSF9,CL_0000623
CCL17,CL_0000792
CCL26,CL_0000540
FGF2,CL_0000132
CCL22,CL_0000792
IL6,CL_0000546
IL11,CL_0000556
TGFB,CL_0000077
EGF,CL_0000138
IL23,CL_0000084
TGFB,CL_0000746
FGF1,CL_0000127
TGFB,CL_0000540
IFN1,CL_0000236
CCL5,CL_0000738
IL4,CL_0000893
TGFB1,CL_1001607
CSF2,CL_0000081
IL15,CL_0000824
TGFB1,CL_0000322
IL13,CL_0000066
CX3CL1,CL_0000576
CXCL12,CL_0000338
IFN1,CL_0000451
IL6,CL_0000312
PDGF,CL_0000359
IL12,CL_0000912
CXCL12,CL_0000576
IL6,CL_0000451
EGF,CL_0000362
CCL2,CL_0000129
TGFB,CL_0000236
TGFB,CL_0000893
CCL4,CL_0000084
HGF,CL_0002139
KITLG,CL_0000037
CXCL6,CL_0000775
IL1,CL_0002092
SPP1,CL_0000092
CCL2,CL_0000542
KITLG,CL_0000148
GDF15,CL_0000218
TGFB,CL_0000127
IL18,CL_0000625
IL4,CL_0000581
IL7,CL_0000909
CSF1,CL_0000034
IL12,CL_0000546
CSF2,CL_0000322
CSF2,CL_0000545
CCL20,CL_0000899
IFNG,CL_0000091
CXCL8,CL_0000097
IL4,CL_0002328
TNF,CL_0002328
IL1,CL_0000771
FGF2,CL_0000746
IL34,CL_0000235
IFNG,CL_0002563
IFNG,CL_0000097
TGFB,CL_0000546
CSF3,CL_0000235
TNF,CL_0000453
IL11,CL_0000092
FGF2,CL_0000127
IL3,CL_0000049
IL13,CL_0000625
IL3,CL_0000542
KITLG,CL_0000034
CX3CL1,CL_0000542
IL1B,CL_0000128
IFNB1,CL_0000127
TGFB1,CL_0002363
TGFB2,CL_0000057
XCL1,CL_0000084
IFNA,CL_0000451
IL10,CL_0000129
TGFB1,CL_0000669
IL2,CL_0000233
EPO,CL_0000056
IL13,CL_0000624
IL1B,CL_0000182
IL12,CL_0000910
IL33,CL_0000160
CXCL8,CL_0000092
IFNA,CL_0000556
CCL2,CL_0000625
EGF,CL_0000192
IL1,CL_0000094
FGF2,CL_0000235
CCL2,CL_0000860
CXCL12,CL_0000138
IL21,CL_0000545
IL4,CL_0000038
IL7,CL_0000138
IL1A,CL_0000499
TNF,CL_0000160
IL5,CL_0000819
IL7,CL_0000057
IL13,CL_0002363
IL6,CL_0000650
RETN,CL_0002334
IFNL3,CL_0000623
IL10,CL_0002619
LIF,CL_0000047
TGFB1,CL_0000775
CCL11,CL_0000576
IL1B,CL_0000037
IFNA,CL_0000813
CXCL8,CL_0000136
PF4,CL_0000556
TGFB2,CL_0000540
CXCL10,CL_0000625
IL4,CL_0000066
TNF,CL_0000740
IFNG,CL_0000160
CCL8,CL_0000738
IL4,CL_0000499
IL17A,CL_0002563
IL33,CL_0000542
IL1B,CL_0000137
SPP1,CL_0000545
IL1B,CL_0002548
IL6,CL_0000625
TGFB,CL_0002224
TNF,CL_0000056
IL13,CL_0000542
TGFB,CL_0002544
TGFA,CL_0000127
IL7,CL_0002489
CSF2,CL_0000092
IL6,CL_0000499
IL15,CL_0000909
TGFB,CL_0002064
IL12,CL_0000129
EPO,CL_0000653
IL13,CL_0000084
IL4,CL_0000792
IL3,CL_0000553
CSF2,CL_0002619
XCL1,CL_0000624
IFNG,CL_0000893
IL2,CL_0000023
CSF3,CL_1001319
IFNG,CL_0002328
CCL7,CL_0000775
IL11,CL_0000038
IL33,CL_0000125
IL1,CL_0000182
IL1A,CL_0002139
PF4,CL_0000145
TGFB1,CL_0000082
TGFB1,CL_0002620
IL15,CL_0000798
RETN,CL_0000037
IFN1,CL_0000542
CX3CL1,CL_0000650
CSF2,CL_0000767
IL1B,CL_0000653
EPO,CL_0000775
THPO,CL_0000050
IL11,CL_0000499
CXCL8,CL_0002138
FGF2,CL_1001607
CXCL12,CL_0000135
TNF,CL_0000061
IL17A,CL_0000576
IL4,CL_0000898
IL2,CL_0000115
IL15,CL_0000097
CCL4,CL_0000122
EGF,CL_0002327
EPO,CL_0000746
IL2,CL_0000788
EGF,CL_0000047
IFNB1,CL_0000115
CXCL12,CL_0000125
CSF3,CL_0000182
CXCL8,CL_0000138
TGFB,CL_0002322
IFN1,CL_0000624
IL1,CL_0000066
IFNG,CL_0002368
FGF2,CL_0000622
IL23,CL_0000775
IL17A,CL_0000084
IFN1,CL_0000540
IFNG,CL_0000813
CXCL12,CL_0000775
CSF2,CL_0000910
CSF3,CL_0002092
CCL4,CL_0000632
IL4,CL_0000136
IL17,CL_0000545
OSM,CL_0000182
TGFB1,CL_1000490
PDGF,CL_0002619
IFNA,CL_0000898
IL1,CL_0000581
IL4,CL_0000815
TNF,CL_0000514
IL17A,CL_0000057
IL32,CL_0000771
IL22,CL_0000037
IL1A,CL_0000359
IL27,CL_0000236
TNFSF15,CL_0000624
IFNA,CL_0000557
CXCL12,CL_0000817
IFN1,CL_0000782
IL18,CL_0000746
IFNB1,CL_0000451
IL1B,CL_1001608
TGFB,CL_0000359
IFNG,CL_0000499
IL18,CL_0000814
CCL5,CL_0000129
IL15,CL_0000898
CXCL1,CL_0000092
TGFB1,CL_0000815
CCL3,CL_0000576
IL6,CL_0002038
IL27,CL_0000623
CSF2,CL_0000115
TGFB,CL_0000082
IFNA,CL_0000094
CSF2,CL_0000214
IL13,CL_0000653
IL3,CL_0000050
CXCL12,CL_0000099
TGFB1,CL_0000136
IL12,CL_0000034
IL12,CL_0000794
IL17,CL_0000576
IL13,CL_0000890
CCL3,CL_0000771
KITLG,CL_0000038
IL18,CL_0000062
TNF,CL_0000082
IL1A,CL_0000066
IL33,CL_0000763
IL16,CL_0000084
IL4,CL_0000912
KITLG,CL_0000541
PPBP,CL_0000775
TGFB1,CL_0000192
IL1RN,CL_0000738
TGFB2,CL_0000092
IL18,CL_1001607
IFNA,CL_0000624
IFNG,CL_0000911
TGFB,CL_1000742
TGFA,CL_0000540
CCL5,CL_0000625
IL33,CL_0000129
IL1B,CL_0000546
TNF,CL_0000051
IL10,CL_0000057
TNF,CL_0000557
CXCL10,CL_0000775
FGF1,CL_0000057
IL33,CL_0000767
IFNG,CL_0000169
TNF,CL_0002319
IFNA,CL_0000792
TGFB1,CL_0002138
IL4,CL_0000312
FGF2,CL_0000738
CXCL12,CL_0000235
IFNA,CL_0000910
TNF,CL_0000374
CCL3,CL_0000034
CD40LG,CL_0000969
IL12,CL_0000899
IL15,CL_0000771
IL17A,CL_0000545
IL1B,CL_0000624
TNFSF4,CL_0000792
IL18,CL_0000312
TGFB,CL_0002320
IL10,CL_0000581
IL6,CL_0000545
IL4,CL_0000816
IL1,CL_0000546
SPP1,CL_0000062
IL17A,CL_0000738
IL3,CL_0000817
IL1B,CL_0000746
CXCL12,CL_0000556
IL21,CL_0002038
CSF3,CL_0000100
CCL2,CL_0000198
LTA,CL_0000625
IL1B,CL_0002334
GDF15,CL_0000115
IL3,CL_0000233
IL17A,CL_0000771
CCL2,CL_0000135
CCL18,CL_0000084
IL33,CL_0000746
IL2,CL_0000312
CCL20,CL_0000542
IL2,CL_0000898
FGF2,CL_0000066
IL17,CL_0000134
TGFB1,CL_0000501
IL1B,CL_0000134
CD40LG,CL_0000576
TGFB1,CL_0000100
IL6,CL_0001035
FGF2,CL_0000233
IFNG,CL_0000094
PF4,CL_0000057
PF4,CL_0000775
CSF1,CL_0000091
IL1,CL_0000540
IL1A,CL_0000034
IL2,CL_0000794
CCL4,CL_0000542
IL17,CL_0002328
IL3,CL_0000115
IL7,CL_0000623
IL9,CL_0000084
CSF3,CL_0000700
CCL2,CL_0000066
IL2,CL_0002404
TGFB,CL_1001319
CCL2,CL_0000623
PF4,CL_0000738
CSF3,CL_0000771
CCL2,CL_0000653
PPBP,CL_0000056
TGFA,CL_0000138
IFNG,CL_0002363
IL6,CL_0000980
CXCL8,CL_0000034
IFNB1,CL_0000125
IL1B,CL_0000623
IL7,CL_0000034
FGF2,CL_0000129
TGF,CL_0000542
IL33,CL_0000451
IL17A,CL_0000233
TNF,CL_0000792
LIF,CL_0000127
PPBP,CL_0002320
IL10,CL_0000115
IL15,CL_0002563
IL33,CL_0000738
LIF,CL_0000034
CXCL10,CL_0000542
IL6,CL_0000128
LECT1,CL_0000115
FGF2,CL_0000187
EPO,CL_0002092
TGFB3,CL_0000057
TNF,CL_0002619
TGFB1,CL_0000233
TNF,CL_0000188
IL1,CL_0000583
CCL15,CL_0000738
