,cytokine,cell,Cell ontology Label
1858,TGFB1,CL_0000216,Sertoli cell
1859,TNF,CL_0000120,granule cell
1860,IL17A,CL_0000037,hematopoietic stem cell
1861,IL32,CL_0000545,T-helper 1 cell
1862,CXCL9,CL_0000738,leukocyte
1863,CCL26,CL_0000813,memory T cell
1864,CXCL10,CL_0000235,macrophage
1865,IL9,CL_0000819,B-1 B cell
1866,CD40LG,CL_0000623,natural killer cell
1867,CXCL14,CL_0000775,neutrophil
1868,HGF,CL_0000374,trichogen cell
1869,FGF1,CL_0002224,lens epithelial cell
1870,IL15,CL_0000092,osteoclast
1871,IFNA,CL_0000786,plasma cell
1872,CCL27,CL_0000034,stem cell
1873,TNF,CL_0002521,subcutaneous fat cell
1874,IL23,CL_0000236,B cell
1875,IFNA,CL_0000127,astrocyte
1876,CXCL12,CL_0002092,bone marrow cell
1877,OSM,CL_0000062,osteoblast
1878,FGF2,CL_0000065,ependymal cell
1879,EGF,CL_0000499,stromal cell
1880,IL15,CL_0000738,leukocyte
1881,FGF2,CL_0002322,embryonic stem cell
1882,TGFB2,CL_0002327,mammary epithelial cell
1883,IL6,CL_0000129,microglial cell
1884,IL15,CL_0000746,cardiac muscle cell
1885,CCL7,CL_0000738,leukocyte
1886,IL5,CL_0000235,macrophage
1887,IFNG,CL_0000148,melanocyte
1888,LTA,CL_0000236,B cell
1889,CSF1,CL_0002476,bone marrow macrophage
1890,IL5,CL_0000815,regulatory T cell
1891,CSF1,CL_0000019,sperm
1892,IL17B,CL_0000057,fibroblast
1893,EPO,CL_0000134,mesenchymal cell
1894,PPBP,CL_0000113,mononuclear phagocyte
1895,CKLF,CL_0000056,myoblast
1896,IL17B,CL_0000775,neutrophil
1897,TNF,CL_0002138,endothelial cell of lymphatic vessel
1898,CCL6,CL_0000057,fibroblast
1899,IL32,CL_0000084,T cell
1900,IL15,CL_0000973,IgA memory B cell
1901,CCL20,CL_0002061,T-helper 9 cell
1902,MIF,CL_0000312,keratinocyte
1903,CXCL5,CL_0000235,macrophage
1904,IL1B,CL_0000813,memory T cell
1905,IL27,CL_0000576,monocyte
1906,IL1,CL_0000763,myeloid cell
1907,CSF3,CL_0000623,natural killer cell
1908,IL17A,CL_0002548,cardiac fibroblast
1909,CXCL8,CL_0000351,trophoblast cell
1910,IL22,CL_0000911,effector T cell
1911,TGF,CL_0002224,lens epithelial cell
1912,IL18,CL_0000092,osteoclast
1913,IL6,CL_0000696,PP cell
1914,IL17,CL_0000066,epithelial cell
1915,TGFB1,CL_0002368,respiratory epithelial cell
1916,TNF,CL_0002140,acinar cell of sebaceous gland
1917,TGFB2,CL_0000138,chondrocyte
1918,PDGFB,CL_0000632,hepatic stellate cell
1919,CSF2,CL_0000893,thymocyte
1920,EPO,CL_1000497,kidney cell
1921,IL12B,CL_0000542,lymphocyte
1922,IFN1,CL_0000784,plasmacytoid dendritic cell
1923,TNFSF13B,CL_0000576,monocyte
1924,IFNA,CL_0000034,stem cell
1925,RETN,CL_0002544,aortic endothelial cell
1926,IFNA,CL_0000782,myeloid dendritic cell
1927,IFNL3,CL_0000236,B cell
1928,IL15,CL_0000811,"CD8-positive, alpha-beta thymocyte"
1929,IL24,CL_0000148,melanocyte
1930,CSF3,CL_0000218,myelinating Schwann cell
1931,CSF2,CL_0000624,"CD4-positive, alpha-beta T cell"
1932,IFNG,CL_0000990,conventional dendritic cell
1933,TNFSF8,CL_0000775,neutrophil
1934,IL2,CL_0002489,double negative thymocyte
1935,IL17A,CL_0000115,endothelial cell
1936,IL18,CL_0000581,peritoneal macrophage
1937,CCL23,CL_0000576,monocyte
1938,CXCL12,CL_0000056,myoblast
1939,IL23,CL_0000623,natural killer cell
1940,IL31,CL_0000540,neuron
1941,IFNG,CL_0000082,epithelial cell of lung
1942,CXCL16,CL_0000233,platelet
1943,IL27,CL_0000145,professional antigen presenting cell
1944,IL1B,CL_0000082,epithelial cell of lung
1945,FGF2,CL_0002620,skin fibroblast
1946,THPO,CL_0000034,stem cell
1947,CCL5,CL_0000084,T cell
1948,IL25,CL_0002061,T-helper 9 cell
1949,EGF,CL_0000542,lymphocyte
1950,TGFB,CL_0002548,cardiac fibroblast
1951,IL1RN,CL_0000351,trophoblast cell
1952,TGFB1,CL_0000738,leukocyte
1953,IL35,CL_0000236,B cell
1954,TNFSF15,CL_0000623,natural killer cell
1955,FGF2,CL_0002609,neuron of cerebral cortex
1956,CSF2,CL_0002246,peripheral blood stem cell
1957,TGFB,CL_0000584,enterocyte
1958,TNF,CL_0000969,regulatory B cell
1959,IFNA,CL_0000057,fibroblast
1960,IL27,CL_0000844,germinal center B cell
1961,IL10,CL_0000557,granulocyte monocyte progenitor cell
1962,CSF1,CL_0002393,intermediate monocyte
1963,IL18,CL_0000738,leukocyte
1964,IL22,CL_0002322,embryonic stem cell
1965,TNFSF15,CL_0000115,endothelial cell
1966,IFNB1,CL_0000784,plasmacytoid dendritic cell
1967,SPP1,CL_0000066,epithelial cell
1968,CXCL5,CL_0000037,hematopoietic stem cell
1969,IL1B,CL_0000312,keratinocyte
1970,HGF,CL_0002328,bronchial epithelial cell
1971,CCL5,CL_0000775,neutrophil
1972,IL1B,CL_0000060,odontoblast
1973,CXCL10,CL_0000092,osteoclast
1974,TNF,CL_0000019,sperm
1975,IL32,CL_0000125,glial cell
1976,IFNL2,CL_0000084,T cell
1977,CCL19,CL_0000545,T-helper 1 cell
1978,TGFB1,CL_0000899,T-helper 17 cell
1979,THPO,CL_0000081,blood cell
1980,IL27,CL_0000901,Tr1 cell
1981,IL7,CL_0000540,neuron
1982,IL4,CL_0000795,"CD8-positive, alpha-beta regulatory T cell"
1983,IL12,CL_0000451,dendritic cell
1984,CXCL8,CL_0002410,pancreatic stellate cell
1985,CXCL12,CL_0000057,fibroblast
1986,TNFSF15,CL_0000545,T-helper 1 cell
1987,FGF1,CL_0000235,macrophage
1988,IL2,CL_0000763,myeloid cell
1989,TGFB1,CL_0000128,oligodendrocyte
1990,CCL1,CL_0002322,embryonic stem cell
1991,IL7,CL_0000897,"CD4-positive, alpha-beta memory T cell"
1992,IL1B,CL_0000158,Clara cell
1993,IL6,CL_0000023,oocyte
1994,IL25,CL_0000784,plasmacytoid dendritic cell
1995,CSF3,CL_0000134,mesenchymal cell
1996,TGFB1,CL_0000531,primary sensory neuron
1997,XCL1,CL_0000129,microglial cell
1998,FGF2,CL_0000216,Sertoli cell
1999,IL13,CL_0000034,stem cell
2000,IFNA,CL_1001319,bladder cell
2001,IL1,CL_0002063,type II pneumocyte
2002,IL17,CL_0000890,alternatively activated macrophage
2003,TGFB1,CL_0000218,myelinating Schwann cell
2004,TGFB2,CL_0000127,astrocyte
2005,CD40LG,CL_0000775,neutrophil
2006,IL6,CL_0000575,corneal epithelial cell
2007,IL20,CL_0000625,"CD8-positive, alpha-beta T cell"
2008,TGFB2,CL_0000581,peritoneal macrophage
2009,CCL3L1,CL_0000771,eosinophil
2010,IL3,CL_0002248,pluripotent stem cell
2011,CXCL8,CL_0002368,respiratory epithelial cell
2012,TGFB1,CL_0000038,erythroid progenitor cell
2013,HGF,CL_1000746,glomerular cell
2014,CSF3,CL_0000546,T-helper 2 cell
2015,IL4,CL_0000056,myoblast
2016,TGFB,CL_0001035,bone cell
2017,IL10,CL_0000094,granulocyte
2018,EPO,CL_0000448,white fat cell
2019,IFNA,CL_0000542,lymphocyte
2020,GDF15,CL_0000235,macrophage
2021,IL2,CL_0000129,microglial cell
2022,SPP1,CL_0000057,fibroblast
2023,IL17A,CL_0000546,T-helper 2 cell
2024,CCL13,CL_0000235,macrophage
2025,CSF2,CL_0000148,melanocyte
2026,TNF,CL_0002148,dental pulp cell
2027,IL17,CL_0000499,stromal cell
2028,CCL5,CL_0000125,glial cell
2029,CXCL9,CL_0000084,T cell
2030,CSF2,CL_0000182,hepatocyte
2031,CCL6,CL_0002563,intestinal epithelial cell
2032,IL7,CL_0002419,mature T cell
2033,CCL3,CL_0000233,platelet
2034,TNF,CL_0000827,pro-T cell
2035,IL1A,CL_0000216,Sertoli cell
2036,IL17A,CL_0002495,fetal cardiomyocyte
2037,CCL20,CL_0000084,T cell
2038,TGFB1,CL_0000160,goblet cell
2039,IL7,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2040,IL24,CL_0000312,keratinocyte
2041,CXCL8,CL_0000824,mature natural killer cell
2042,CD40LG,CL_0000787,memory B cell
2043,TGFA,CL_0000202,auditory hair cell
2044,TGFB1,CL_0000898,naive T cell
2045,CXCL9,CL_0000911,effector T cell
2046,IFNB1,CL_0000092,osteoclast
2047,IL27,CL_0000115,endothelial cell
2048,TNFSF9,CL_0000581,peritoneal macrophage
2049,TGFB,CL_0000849,crypt olfactory receptor neuron
2050,CCL3,CL_0000786,plasma cell
2051,IL1B,CL_0000322,pneumocyte
2052,IL1A,CL_0000122,stellate cell
2053,PDGF,CL_0000134,mesenchymal cell
2054,CXCL10,CL_0000622,acinar cell
2055,TNF,CL_0000779,multinuclear osteoclast
2056,LTA,CL_0000623,natural killer cell
2057,SPP1,CL_0000138,chondrocyte
2058,IL3,CL_0000062,osteoblast
2059,TGFB1,CL_0002231,epithelial cell of prostate
2060,CXCL12,CL_0000499,stromal cell
2061,TNF,CL_0000798,gamma-delta T cell
2062,IL1RN,CL_0000096,mature neutrophil
2063,IL6,CL_0002334,preadipocyte
2064,IL17A,CL_0000214,synovial cell
2065,TGFB1,CL_0000178,Leydig cell
2066,CCL2,CL_1000490,mesothelial cell of peritoneum
2067,FGF2,CL_0000700,dopaminergic neuron
2068,FGF1,CL_0000084,T cell
2069,IL6,CL_0002138,endothelial cell of lymphatic vessel
2070,CSF2,CL_0000353,blastoderm cell
2071,CXCL12,CL_0000120,granule cell
2072,IL33,CL_0000624,"CD4-positive, alpha-beta T cell"
2073,IL2,CL_0000787,memory B cell
2074,EPO,CL_0000129,microglial cell
2075,TGFB,CL_0000890,alternatively activated macrophage
2076,FGF2,CL_0000374,trichogen cell
2077,CD40LG,CL_0000136,fat cell
2078,CCL2,CL_0000034,stem cell
2079,TGFB,CL_0002521,subcutaneous fat cell
2080,IL13,CL_0000647,multinucleated giant cell
2081,IL3,CL_0000451,dendritic cell
2082,GDF15,CL_0000584,enterocyte
2083,FGF2,CL_0000586,germ cell
2084,PPBP,CL_0000084,T cell
2085,IL4,CL_0002363,keratocyte
2086,CSF3,CL_0000814,mature NK T cell
2087,CCL26,CL_0000740,retinal ganglion cell
2088,CD40LG,CL_0002544,aortic endothelial cell
2089,OSM,CL_0000214,synovial cell
2090,CCL2,CL_0000037,hematopoietic stem cell
2091,LECT2,CL_0000182,hepatocyte
2092,IL17F,CL_0000312,keratinocyte
2093,TNFSF4,CL_0000625,"CD8-positive, alpha-beta T cell"
2094,TGFB1,CL_0000384,ligament cell
2095,IL6,CL_0002627,mature astrocyte
2096,IFNB1,CL_0000148,melanocyte
2097,IL6,CL_0002619,adult endothelial progenitor cell
2098,CD40LG,CL_0000898,naive T cell
2099,TGFB1,CL_0002092,bone marrow cell
2100,CCL2,CL_0000338,neuroblast (sensu Nematoda and Protostomia)
2101,IL1B,CL_0000700,dopaminergic neuron
2102,CSF2,CL_0000066,epithelial cell
2103,TNF,CL_0000232,erythrocyte
2104,CXCL8,CL_0000501,granulosa cell
2105,CCL15,CL_0000576,monocyte
2106,CCL18,CL_0000115,endothelial cell
2107,CSF1,CL_0000233,platelet
2108,TNF,CL_0000216,Sertoli cell
2109,TNF,CL_0002608,hippocampal neuron
2110,TNFSF4,CL_0000546,T-helper 2 cell
2111,IL17A,CL_0000359,vascular associated smooth muscle cell
2112,CSF3,CL_0000776,immature neutrophil
2113,IL25,CL_0000359,vascular associated smooth muscle cell
2114,IFN1,CL_0000738,leukocyte
2115,CLCF1,CL_0000236,B cell
2116,IL10,CL_0000912,helper T cell
2117,IL15,CL_0000182,hepatocyte
2118,IFNB1,CL_0000910,cytotoxic T cell
2119,CCL24,CL_0000351,trophoblast cell
2120,IL7,CL_0000115,endothelial cell
2121,CXCL9,CL_0000771,eosinophil
2122,TGFB,CL_0000556,megakaryocyte
2123,IL15,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell"
2124,THPO,CL_0000540,neuron
2125,IL34,CL_0000775,neutrophil
2126,CXCL12,CL_0000625,"CD8-positive, alpha-beta T cell"
2127,RETN,CL_0000062,osteoblast
2128,TGFB,CL_0000352,epiblast cell
2129,IFNB1,CL_0000969,regulatory B cell
2130,GDF15,CL_0000057,fibroblast
2131,TGFB,CL_0000586,germ cell
2132,PDGFA,CL_0000632,hepatic stellate cell
2133,CCL25,CL_0000893,thymocyte
2134,CXCL12,CL_0000023,oocyte
2135,IL1A,CL_0002240,marrow fibroblast
2136,IFNG,CL_0002586,retinal pigment epithelial cell
2137,IL6,CL_0002544,aortic endothelial cell
2138,CSF2,CL_0000782,myeloid dendritic cell
2139,TGFB1,CL_0000214,synovial cell
2140,IL10,CL_0000160,goblet cell
2141,CCL6,CL_0000037,hematopoietic stem cell
2142,IL3,CL_0000546,T-helper 2 cell
2143,XCL1,CL_0000625,"CD8-positive, alpha-beta T cell"
2144,IL17,CL_1001567,lung endothelial cell
2145,IL1B,CL_0000148,melanocyte
2146,TNF,CL_1000491,mesothelial cell of pleura
2147,TGFB1,CL_1001609,muscle fibroblast
2148,PDGFA,CL_0000127,astrocyte
2149,IL6,CL_0000165,neuroendocrine cell
2150,CCL2,CL_0000771,eosinophil
2151,CSF1,CL_0000038,erythroid progenitor cell
2152,IL18,CL_0000057,fibroblast
2153,IL22,CL_0002563,intestinal epithelial cell
2154,CSF1,CL_0000056,myoblast
2155,FGF1,CL_0000062,osteoblast
2156,CCL23,CL_0000115,endothelial cell
2157,TGFB1,CL_0000188,skeletal muscle cell
2158,CCL7,CL_0000127,astrocyte
2159,IL1B,CL_0000145,professional antigen presenting cell
2160,TGFB2,CL_0000034,stem cell
2161,TGFB,CL_0000642,folliculostellate cell
2162,CXCL12,CL_0000094,granulocyte
2163,IL10,CL_0000902,induced T-regulatory cell
2164,SPP1,CL_0000312,keratinocyte
2165,IL6,CL_0000646,basal cell
2166,IL17,CL_0000912,helper T cell
2167,IL35,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2168,OSM,CL_0000115,endothelial cell
2169,TGFB3,CL_0000134,mesenchymal cell
2170,IFNG,CL_0002477,adipose macrophage
2171,TNF,CL_0002366,myometrial cell
2172,EPO,CL_0002609,neuron of cerebral cortex
2173,EBI3,CL_0000625,"CD8-positive, alpha-beta T cell"
2174,TGFB,CL_0000451,dendritic cell
2175,IL21,CL_0000969,regulatory B cell
2176,IL1,CL_0000557,granulocyte monocyte progenitor cell
2177,TGFB,CL_0000632,hepatic stellate cell
2178,HGF,CL_1000497,kidney cell
2179,CCL4,CL_0000097,mast cell
2180,IFNG,CL_0000101,sensory neuron
2181,TNFSF15,CL_0000214,synovial cell
2182,IFNG,CL_0000968,Be cell
2183,CD40LG,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2184,IL6,CL_0000148,melanocyte
2185,CCL4,CL_0000775,neutrophil
2186,IL21,CL_0000990,conventional dendritic cell
2187,CXCL12,CL_0000060,odontoblast
2188,IL17A,CL_0000625,"CD8-positive, alpha-beta T cell"
2189,IL10,CL_0000809,"double-positive, alpha-beta thymocyte"
2190,CX3CL1,CL_0000092,osteoclast
2191,IL1B,CL_0000581,peritoneal macrophage
2192,IL27,CL_0002038,T follicular helper cell
2193,IFNG,CL_0000453,Langerhans cell
2194,IL4,CL_0000540,neuron
2195,IL18,CL_0000138,chondrocyte
2196,IFNG,CL_0000062,osteoblast
2197,CD40LG,CL_0000115,endothelial cell
2198,CCL2,CL_0002397,"CD14-positive, CD16-positive monocyte"
2199,IFNG,CL_0000795,"CD8-positive, alpha-beta regulatory T cell"
2200,TNF,CL_0002064,pancreatic acinar cell
2201,IL17,CL_0002139,endothelial cell of vascular tree
2202,IL9,CL_0000771,eosinophil
2203,PDGFB,CL_0000037,hematopoietic stem cell
2204,TNFSF15,CL_0000235,macrophage
2205,IFNB1,CL_0000653,glomerular visceral epithelial cell
2206,EGF,CL_0000623,natural killer cell
2207,CCL5,CL_0000746,cardiac muscle cell
2208,PPBP,CL_0000625,"CD8-positive, alpha-beta T cell"
2209,TGFB1,CL_0000222,mesodermal cell
2210,IL18,CL_0000187,muscle cell
2211,IL12,CL_0002092,bone marrow cell
2212,IL21,CL_0000897,"CD4-positive, alpha-beta memory T cell"
2213,TGFB1,CL_0002609,neuron of cerebral cortex
2214,IFNG,CL_0000158,Clara cell
2215,TNFSF9,CL_0000451,dendritic cell
2216,IFNG,CL_0000815,regulatory T cell
2217,IFN1,CL_0000232,erythrocyte
2218,SPP1,CL_0000192,smooth muscle cell
2219,TNF,CL_1000497,kidney cell
2220,IL2,CL_0002343,decidual natural killer cell
2221,CXCL1,CL_0002138,endothelial cell of lymphatic vessel
2222,IL27,CL_0000814,mature NK T cell
2223,IL10,CL_0000784,plasmacytoid dendritic cell
2224,CSF2,CL_0000134,mesenchymal cell
2225,FGF2,CL_0007010,preosteoblast
2226,TGF,CL_0000066,epithelial cell
2227,TNF,CL_0000101,sensory neuron
2228,TGFB1,CL_0002539,aortic smooth muscle cell
2229,EGF,CL_1001319,bladder cell
2230,IL5,CL_0000746,cardiac muscle cell
2231,IFN1,CL_0000037,hematopoietic stem cell
2232,IL1B,CL_0002062,type I pneumocyte
2233,CCL21,CL_0000542,lymphocyte
2234,IL4,CL_0002629,mature microglial cell
2235,TNFSF13,CL_0000236,B cell
2236,TGFB,CL_0000060,odontoblast
2237,IL7,CL_0000581,peritoneal macrophage
2238,OSM,CL_0000499,stromal cell
2239,TGFA,CL_0000125,glial cell
2240,IL17A,CL_0000134,mesenchymal cell
2241,CCL20,CL_0000545,T-helper 1 cell
2242,TGFA,CL_0000499,stromal cell
2243,IL10,CL_0000182,hepatocyte
2244,TNF,CL_0000100,motor neuron
2245,IL15,CL_0000451,dendritic cell
2246,IL17F,CL_0000062,osteoblast
2247,IL6,CL_0002139,endothelial cell of vascular tree
2248,CCL5,CL_0000499,stromal cell
2249,TGFB1,CL_0002543,vein endothelial cell
2250,IL6,CL_0000015,male germ cell
2251,CXCL2,CL_0000746,cardiac muscle cell
2252,LIF,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2253,CX3CL1,CL_0002322,embryonic stem cell
2254,CCL17,CL_0000178,Leydig cell
2255,THPO,CL_0000097,mast cell
2256,IFNA,CL_0000115,endothelial cell
2257,TGFB,CL_0000595,enucleate erythrocyte
2258,TNF,CL_0002621,gingival epithelial cell
2259,CCL20,CL_0002563,intestinal epithelial cell
2260,IL12,CL_0000893,thymocyte
2261,IL1A,CL_0000542,lymphocyte
2262,TDGF1P3,CL_0002322,embryonic stem cell
2263,FGF2,CL_0002138,endothelial cell of lymphatic vessel
2264,TNF,CL_0000814,mature NK T cell
2265,IL1,CL_0000216,Sertoli cell
2266,IL13,CL_0000135,fibrocyte
2267,IFNG,CL_1001319,bladder cell
2268,IL21,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2269,TNF,CL_0000148,melanocyte
2270,IL33,CL_0000890,alternatively activated macrophage
2271,IL1B,CL_0002328,bronchial epithelial cell
2272,CXCL9,CL_0000624,"CD4-positive, alpha-beta T cell"
2273,IL17A,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2274,FGF2,CL_0002097,cortical cell of adrenal gland
2275,IL20,CL_0000115,endothelial cell
2276,IL18,CL_0000235,macrophage
2277,IL1A,CL_0000097,mast cell
2278,IL27,CL_0000899,T-helper 17 cell
2279,IL10,CL_0000771,eosinophil
2280,IFNG,CL_0000038,erythroid progenitor cell
2281,CXCL10,CL_0000115,endothelial cell
2282,IL33,CL_0000092,osteoclast
2283,IL27,CL_0000775,neutrophil
2284,CXCL10,CL_0000057,fibroblast
2285,IL12,CL_0000092,osteoclast
2286,IL10,CL_0000899,T-helper 17 cell
2287,IFNB1,CL_0000899,T-helper 17 cell
2288,IL27,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2289,CCL3,CL_0000037,hematopoietic stem cell
2290,IL35,CL_0000899,T-helper 17 cell
2291,IL16,CL_0000542,lymphocyte
2292,IL4,CL_0000453,Langerhans cell
2293,TGFB,CL_0002231,epithelial cell of prostate
2294,IL25,CL_0000084,T cell
2295,IL10,CL_0000192,smooth muscle cell
2296,IL13,CL_0000738,leukocyte
2297,IL23,CL_0000815,regulatory T cell
2298,FGF1,CL_0000182,hepatocyte
2299,IL4,CL_0000899,T-helper 17 cell
2300,CCL5,CL_0000235,macrophage
2301,TGFB,CL_0000097,mast cell
2302,TNF,CL_0000351,trophoblast cell
2303,CCL20,CL_0000738,leukocyte
2304,IL15,CL_0000136,fat cell
2305,TGFB1,CL_0000023,oocyte
2306,IL6,CL_0000514,smooth muscle myoblast
2307,GDF15,CL_0000084,T cell
2308,TNFSF9,CL_0000092,osteoclast
2309,TGFB1,CL_0000824,mature natural killer cell
2310,CSF3,CL_0000556,megakaryocyte
2311,IL1RN,CL_0000057,fibroblast
2312,IL1,CL_0000136,fat cell
2313,IFNG,CL_0000192,smooth muscle cell
2314,CXCL12,CL_0000763,myeloid cell
2315,IL15,CL_0000911,effector T cell
2316,IL33,CL_0000136,fat cell
2317,TGFB1,CL_0000763,myeloid cell
2318,CSF1,CL_0000624,"CD4-positive, alpha-beta T cell"
2319,EGF,CL_0000312,keratinocyte
2320,IL7,CL_0000826,pro-B cell
2321,TGFB1,CL_0002322,embryonic stem cell
2322,IL6,CL_0002608,hippocampal neuron
2323,IL10,CL_0002629,mature microglial cell
2324,IL2,CL_0000057,fibroblast
2325,IL10,CL_0000096,mature neutrophil
2326,CXCL8,CL_0000236,B cell
2327,IL22,CL_0000771,eosinophil
2328,CSF3,CL_0000625,"CD8-positive, alpha-beta T cell"
2329,IFNB1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2330,IL17A,CL_0000092,osteoclast
2331,IL18,CL_0000160,goblet cell
2332,IFNG,CL_0000122,stellate cell
2333,IFNB1,CL_0000192,smooth muscle cell
2334,CXCL10,CL_0000899,T-helper 17 cell
2335,FGF1,CL_0002327,mammary epithelial cell
2336,IL4,CL_0002334,preadipocyte
2337,IL22,CL_0000307,tracheal epithelial cell
2338,IL6,CL_0000322,pneumocyte
2339,TNFSF8,CL_0000771,eosinophil
2340,IFNG,CL_0000899,T-helper 17 cell
2341,CCL6,CL_0000738,leukocyte
2342,IL25,CL_0000899,T-helper 17 cell
2343,IFNG,CL_0000145,professional antigen presenting cell
2344,TGFB3,CL_0000066,epithelial cell
2345,IL1,CL_0000624,"CD4-positive, alpha-beta T cell"
2346,TGFB1,CL_0000622,acinar cell
2347,IL35,CL_0000451,dendritic cell
2348,IL12,CL_0000115,endothelial cell
2349,IFNG,CL_0002061,T-helper 9 cell
2350,IFNB1,CL_0000646,basal cell
2351,LECT2,CL_0000115,endothelial cell
2352,IL1A,CL_0000545,T-helper 1 cell
2353,CCL20,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2354,IL17A,CL_0000082,epithelial cell of lung
2355,IL22,CL_0000082,epithelial cell of lung
2356,IL27,CL_0002061,T-helper 9 cell
2357,EPO,CL_0000542,lymphocyte
2358,EPO,CL_0000235,macrophage
2359,TGFB2,CL_0000738,leukocyte
2360,IFNL2,CL_0000771,eosinophil
2361,CD40LG,CL_0000815,regulatory T cell
2362,IL19,CL_0000738,leukocyte
2363,IL24,CL_0002322,embryonic stem cell
2364,IL21,CL_0000814,mature NK T cell
2365,IL1RN,CL_0000218,myelinating Schwann cell
2366,IFNL3,CL_0000084,T cell
2367,IFNL1,CL_0000182,hepatocyte
2368,IL3,CL_0000138,chondrocyte
2369,IL6,CL_0000902,induced T-regulatory cell
2370,CXCL10,CL_0000917,Tc1 cell
2371,IFNA,CL_0000136,fat cell
2372,LTA,CL_0000682,M cell
2373,IL11,CL_0000235,macrophage
2374,CXCL12,CL_0000097,mast cell
2375,IL1RN,CL_0000097,mast cell
2376,CSF3,CL_0000545,T-helper 1 cell
2377,IL1B,CL_0000162,parietal cell
2378,TGFB1,CL_0000902,induced T-regulatory cell
2379,IL6,CL_0000912,helper T cell
2380,CSF3,CL_0000581,peritoneal macrophage
2381,CXCL10,CL_0002563,intestinal epithelial cell
2382,IL13,CL_0000540,neuron
2383,EPO,CL_0000547,proerythroblast
2384,TGFB,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2385,TGFB,CL_0002328,bronchial epithelial cell
2386,TNF,CL_0002097,cortical cell of adrenal gland
2387,CSF3,CL_0000786,plasma cell
2388,IL1RN,CL_0000322,pneumocyte
2389,IL10,CL_0000233,platelet
2390,CSF2,CL_0000863,inflammatory macrophage
2391,IL1B,CL_0009004,retinal cell
2392,IFNL2,CL_0000623,natural killer cell
2393,IFNB1,CL_0000700,dopaminergic neuron
2394,CXCL12,CL_0000501,granulosa cell
2395,CXCL12,CL_0000182,hepatocyte
2396,IL35,CL_0000624,"CD4-positive, alpha-beta T cell"
2397,IL32,CL_0000451,dendritic cell
2398,IFNG,CL_0000213,lining cell
2399,IFN1,CL_0000764,erythroid lineage cell
2400,IL12,CL_0000081,blood cell
2401,TNFSF11,CL_0000743,hypertrophic chondrocyte
2402,IL17,CL_0000813,memory T cell
2403,IL17,CL_0000182,hepatocyte
2404,CX3CL1,CL_0000187,muscle cell
2405,EGF,CL_0000023,oocyte
2406,IL4,CL_0000442,follicular dendritic cell
2407,IL35,CL_0000084,T cell
2408,IL17,CL_0000902,induced T-regulatory cell
2409,IL21,CL_0002061,T-helper 9 cell
2410,IL15,CL_0000763,myeloid cell
2411,TGFA,CL_0000584,enterocyte
2412,IL27,CL_0000233,platelet
2413,IL4,CL_0000990,conventional dendritic cell
2414,CSF1,CL_0002397,"CD14-positive, CD16-positive monocyte"
2415,IL4,CL_0000902,induced T-regulatory cell
2416,IL17A,CL_0000583,alveolar macrophage
2417,IL10,CL_0000903,natural T-regulatory cell
2418,IFNL3,CL_0000815,regulatory T cell
2419,IL6,CL_0000844,germinal center B cell
2420,IL21,CL_0000312,keratinocyte
2421,TGFB,CL_0000125,glial cell
2422,IFNG,CL_0000319,mucus secreting cell
2423,MIF,CL_0000540,neuron
2424,CCL25,CL_0000625,"CD8-positive, alpha-beta T cell"
2425,IFN1,CL_0000233,platelet
2426,CSF1,CL_0000084,T cell
2427,HGF,CL_0000775,neutrophil
2428,SPP1,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2429,IFNG,CL_0000178,Leydig cell
2430,CXCL14,CL_0002319,neural cell
2431,TNF,CL_0000595,enucleate erythrocyte
2432,IL1RN,CL_0000893,thymocyte
2433,TGFB1,CL_0000826,pro-B cell
2434,IL4,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell"
2435,IL18,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
2436,EPO,CL_0000127,astrocyte
2437,TGF,CL_0000624,"CD4-positive, alpha-beta T cell"
2438,TGFB,CL_0000162,parietal cell
2439,IL25,CL_0000767,basophil
2440,CCL2,CL_0000831,mast cell progenitor
2441,IL33,CL_0000127,astrocyte
2442,IL6,CL_0000232,erythrocyte
2443,IL22,CL_0000738,leukocyte
2444,TGFB1,CL_1001573,nasopharyngeal epithelial cell
2445,CCL9,CL_0000136,fat cell
2446,IFNG,CL_0002627,mature astrocyte
2447,IL27,CL_0000815,regulatory T cell
2448,TGFB,CL_0000514,smooth muscle myoblast
2449,IL1B,CL_0000091,Kupffer cell
2450,IL24,CL_0000542,lymphocyte
2451,CCL2,CL_0000127,astrocyte
