,cytokine,cell,Cell ontology Label
379,IFNB1,CL_0000623,natural killer cell
380,IL1B,CL_0000499,stromal cell
381,IL25,CL_0000546,T-helper 2 cell
382,TGFB,CL_0000542,lymphocyte
383,FGF2,CL_0000499,stromal cell
384,CD40LG,CL_0000738,leukocyte
385,IL17,CL_0000115,endothelial cell
386,CXCL10,CL_0000623,natural killer cell
387,IL1,CL_0000236,B cell
388,TNF,CL_0000359,vascular associated smooth muscle cell
389,IFNA,CL_0000625,"CD8-positive, alpha-beta T cell"
390,IL2,CL_0000545,T-helper 1 cell
391,IL17A,CL_0000235,macrophage
392,TNF,CL_0000125,glial cell
393,TGFB,CL_0000037,hematopoietic stem cell
394,CSF1,CL_0000581,peritoneal macrophage
395,IFNG,CL_0000037,hematopoietic stem cell
396,FGF2,CL_0000128,oligodendrocyte
397,IL27,CL_0000625,"CD8-positive, alpha-beta T cell"
398,TNF,CL_0000583,alveolar macrophage
399,IL12B,CL_0000545,T-helper 1 cell
400,TGFB1,CL_0000077,mesothelial cell
401,CSF3,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
402,TNF,CL_0000096,mature neutrophil
403,IL15,CL_0000236,B cell
404,IL2,CL_0000576,monocyte
405,IL10,CL_0000542,lymphocyte
406,IFNG,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
407,CCL2,CL_0000115,endothelial cell
408,IFNA,CL_0000738,leukocyte
409,TNF,CL_0002368,respiratory epithelial cell
410,IL10,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
411,IL5,CL_0000084,T cell
412,IL1A,CL_0000115,endothelial cell
413,CSF3,CL_0000115,endothelial cell
414,IL1B,CL_0000129,microglial cell
415,TGFB1,CL_0000037,hematopoietic stem cell
416,IL1B,CL_0000066,epithelial cell
417,TGF,CL_0000057,fibroblast
418,CSF3,CL_0000540,neuron
419,GDF15,CL_0000746,cardiac muscle cell
420,IL17,CL_0000312,keratinocyte
421,SPP1,CL_0000235,macrophage
422,TGFB,CL_0000056,myoblast
423,IFNG,CL_0000546,T-helper 2 cell
424,TGFB1,CL_0000623,natural killer cell
425,FGF2,CL_0000312,keratinocyte
426,IL1B,CL_0000092,osteoclast
427,EPO,CL_0000556,megakaryocyte
428,FGF2,CL_0000092,osteoclast
429,IL3,CL_0000038,erythroid progenitor cell
430,TGFB,CL_0000771,eosinophil
431,TGFB,CL_0000902,induced T-regulatory cell
432,IL1,CL_0000312,keratinocyte
433,IL18,CL_0000576,monocyte
434,IFNA,CL_0000775,neutrophil
435,IL18,CL_0000624,"CD4-positive, alpha-beta T cell"
436,IL6,CL_0000127,astrocyte
437,IL17,CL_0000057,fibroblast
438,IL6,CL_0000893,thymocyte
439,IL4,CL_0000451,dendritic cell
440,IL33,CL_0000084,T cell
