cytokine,cell
LTA,T cell
IL22,epithelial cell
CSF2,lymphocyte
CXCL8,stromal cell
TNF,glomerular visceral epithelial cell
SPP1,leukocyte
TGFB1,myoblast
IL17,leukocyte
CCL3,macrophage
TNF,mononuclear phagocyte
TNF,Kupffer cell
TNF,stem cell
IL23,osteoclast
IL1B,T-helper 17 cell
CD40LG,macrophage
CSF2,stem cell
FGF2,synovial cell
CCL9,hepatocyte
CSF2,microglial cell
TNF,myelinating Schwann cell
IL6,myoblast
IFNB1,lymphocyte
IL4,hepatocyte
CXCL12,type B pancreatic cell
CCL3,leukocyte
FGF2,neuronal stem cell
CD40LG,lymphocyte
IFNB1,"CD4-positive, alpha-beta T cell"
IL21,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,prostate stromal cell
TGFB,myeloid cell
IFNB1,neutrophil
IL17A,keratinocyte
CSF2,plasmacytoid dendritic cell
CXCL8,keratinocyte
TGFB1,megakaryocyte
TNFSF4,"CD4-positive, alpha-beta T cell"
IL4,neutrophil
IL1B,platelet
TNF,mesangial cell
IFNG,myeloid dendritic cell
IL6,sperm
IL10,dendritic cell
CXCL8,granulocyte
IL6,cholangiocyte
CXCL8,hematopoietic stem cell
IL21,"CD4-positive, alpha-beta T cell"
IL5,"CD4-positive, alpha-beta T cell"
CCL2,T-helper 2 cell
IL4,natural killer cell
IL1B,alveolar macrophage
IFN1,natural killer cell
CSF3,cardiac muscle cell
IL3,macrophage
IL1,mesangial cell
TNF,smooth muscle cell
IL1B,articular chondrocyte
FGF2,hippocampal neuron
CSF1,neuron
IL15,T-helper 1 cell
TNFSF15,T cell
CCL22,T cell
IL27,T cell
CSF2,keratinocyte
CXCL10,eosinophil
IL1B,smooth muscle cell
TGFB1,mammary epithelial cell
IL1,type B pancreatic cell
IFN1,T-helper 1 cell
IL33,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL2,macrophage
IL4,cytotoxic T cell
TGFB2,endothelial cell
IFNB1,T-helper 1 cell
FGF2,preadipocyte
TNF,cytotoxic T cell
IL31,sensory neuron
CXCL12,hematopoietic stem cell
LIF,macrophage
CCL24,eosinophil
IFNG,myoblast
IL33,natural killer cell
TGFB,skin fibroblast
CXCL12,B cell
IL27,macrophage
IFNB1,fibroblast
IL18,eosinophil
TGFB1,hepatocyte
IL13,bronchial epithelial cell
IL1B,B cell
TNF,myotube
CXCL8,T cell
TNF,mature microglial cell
IL7,naive T cell
IL1A,macrophage
IL17A,fat cell
IL4,naive B cell
CCL2,osteoclast
HGF,intestinal epithelial cell
IL17,neuron
TGFB1,cardiac muscle cell
CCL2,B cell
TGFB1,bronchial epithelial cell
IL11,platelet
PDGF,mesangial cell
IL4,synovial cell
TGFB1,muscle cell
CCL9,"CD4-positive, alpha-beta T cell"
IL3,eosinophil
CXCL1,monocyte
PDGFB,pericyte cell
IFNG,enterocyte
IL1A,platelet
HGF,stem cell
IL17A,cardiac muscle cell
CCL4,hematopoietic stem cell
FGF2,neuroblast (sensu Nematoda and Protostomia)
TGFB,platelet
CCL3,T cell
IL12B,T cell
IL21,plasma cell
IL9,mast cell
GDF15,muscle cell
TGFB3,chondrocyte
IFNA,stromal cell
IL4,inflammatory macrophage
CXCL12,thymocyte
CCL3,neutrophil
CSF3,osteoclast
TGFB,regulatory T cell
IL1A,chondrocyte
IFNG,endothelial cell of vascular tree
IFNB1,leukocyte
IL2,helper T cell
TNFSF9,natural killer cell
CCL17,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
CCL26,neuron
FGF2,corneal endothelial cell
CCL22,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL6,T-helper 2 cell
IL11,megakaryocyte
TGFB,mesothelial cell
EGF,chondrocyte
IL23,T cell
TGFB,cardiac muscle cell
FGF1,astrocyte
TGFB,neuron
IFN1,B cell
CCL5,leukocyte
IL4,thymocyte
TGFB1,articular chondrocyte
CSF2,blood cell
IL15,mature natural killer cell
TGFB1,pneumocyte
IL13,epithelial cell
CX3CL1,monocyte
CXCL12,neuroblast (sensu Nematoda and Protostomia)
IFN1,dendritic cell
IL6,keratinocyte
PDGF,vascular associated smooth muscle cell
IL12,helper T cell
CXCL12,monocyte
IL6,dendritic cell
EGF,epidermal cell
CCL2,microglial cell
TGFB,B cell
TGFB,thymocyte
CCL4,T cell
HGF,endothelial cell of vascular tree
KITLG,hematopoietic stem cell
CXCL6,neutrophil
IL1,bone marrow cell
SPP1,osteoclast
CCL2,lymphocyte
KITLG,melanocyte
GDF15,myelinating Schwann cell
TGFB,astrocyte
IL18,"CD8-positive, alpha-beta T cell"
IL4,peritoneal macrophage
IL7,"CD8-positive, alpha-beta memory T cell"
CSF1,stem cell
IL12,T-helper 2 cell
CSF2,pneumocyte
CSF2,T-helper 1 cell
CCL20,T-helper 17 cell
IFNG,Kupffer cell
CXCL8,mast cell
IL4,bronchial epithelial cell
TNF,bronchial epithelial cell
IL1,eosinophil
FGF2,cardiac muscle cell
IL34,macrophage
IFNG,intestinal epithelial cell
IFNG,mast cell
TGFB,T-helper 2 cell
CSF3,macrophage
TNF,Langerhans cell
IL11,osteoclast
FGF2,astrocyte
IL3,common myeloid progenitor
IL13,"CD8-positive, alpha-beta T cell"
IL3,lymphocyte
KITLG,stem cell
CX3CL1,lymphocyte
IL1B,oligodendrocyte
IFNB1,astrocyte
TGFB1,keratocyte
TGFB2,fibroblast
XCL1,T cell
IFNA,dendritic cell
IL10,microglial cell
TGFB1,pericyte cell
IL2,platelet
EPO,myoblast
IL13,"CD4-positive, alpha-beta T cell"
IL1B,hepatocyte
IL12,cytotoxic T cell
IL33,goblet cell
CXCL8,osteoclast
IFNA,megakaryocyte
CCL2,"CD8-positive, alpha-beta T cell"
EGF,smooth muscle cell
IL1,granulocyte
FGF2,macrophage
CCL2,classical monocyte
CXCL12,chondrocyte
IL21,T-helper 1 cell
IL4,erythroid progenitor cell
IL7,chondrocyte
IL1A,stromal cell
TNF,goblet cell
IL5,B-1 B cell
IL7,fibroblast
IL13,keratocyte
IL6,mesangial cell
RETN,preadipocyte
IFNL3,natural killer cell
IL10,adult endothelial progenitor cell
LIF,neuronal stem cell
TGFB1,neutrophil
CCL11,monocyte
IL1B,hematopoietic stem cell
IFNA,memory T cell
CXCL8,fat cell
PF4,megakaryocyte
TGFB2,neuron
CXCL10,"CD8-positive, alpha-beta T cell"
IL4,epithelial cell
TNF,retinal ganglion cell
IFNG,goblet cell
CCL8,leukocyte
IL4,stromal cell
IL17A,intestinal epithelial cell
IL33,lymphocyte
IL1B,osteocyte
SPP1,T-helper 1 cell
IL1B,cardiac fibroblast
IL6,"CD8-positive, alpha-beta T cell"
TGFB,lens epithelial cell
TNF,myoblast
IL13,lymphocyte
TGFB,aortic endothelial cell
TGFA,astrocyte
IL7,double negative thymocyte
CSF2,osteoclast
IL6,stromal cell
IL15,"CD8-positive, alpha-beta memory T cell"
TGFB,pancreatic acinar cell
IL12,microglial cell
EPO,glomerular visceral epithelial cell
IL13,T cell
IL4,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL3,megakaryocyte progenitor cell
CSF2,adult endothelial progenitor cell
XCL1,"CD4-positive, alpha-beta T cell"
IFNG,thymocyte
IL2,oocyte
CSF3,bladder cell
IFNG,bronchial epithelial cell
CCL7,neutrophil
IL11,erythroid progenitor cell
IL33,glial cell
IL1,hepatocyte
IL1A,endothelial cell of vascular tree
PF4,professional antigen presenting cell
TGFB1,epithelial cell of lung
TGFB1,skin fibroblast
IL15,gamma-delta T cell
RETN,hematopoietic stem cell
IFN1,lymphocyte
CX3CL1,mesangial cell
CSF2,basophil
IL1B,glomerular visceral epithelial cell
EPO,neutrophil
THPO,megakaryocyte-erythroid progenitor cell
IL11,stromal cell
CXCL8,endothelial cell of lymphatic vessel
FGF2,articular chondrocyte
CXCL12,fibrocyte
TNF,cementoblast
IL17A,monocyte
IL4,naive T cell
IL2,endothelial cell
IL15,mast cell
CCL4,stellate cell
EGF,mammary epithelial cell
EPO,cardiac muscle cell
IL2,naive B cell
EGF,neuronal stem cell
IFNB1,endothelial cell
CXCL12,glial cell
CSF3,hepatocyte
CXCL8,chondrocyte
TGFB,embryonic stem cell
IFN1,"CD4-positive, alpha-beta T cell"
IL1,epithelial cell
IFNG,respiratory epithelial cell
FGF2,acinar cell
IL23,neutrophil
IL17A,T cell
IFN1,neuron
IFNG,memory T cell
CXCL12,neutrophil
CSF2,cytotoxic T cell
CSF3,bone marrow cell
CCL4,hepatic stellate cell
IL4,fat cell
IL17,T-helper 1 cell
OSM,hepatocyte
TGFB1,mesothelial cell of peritoneum
PDGF,adult endothelial progenitor cell
IFNA,naive T cell
IL1,peritoneal macrophage
IL4,regulatory T cell
TNF,smooth muscle myoblast
IL17A,fibroblast
IL32,eosinophil
IL22,hematopoietic stem cell
IL1A,vascular associated smooth muscle cell
IL27,B cell
TNFSF15,"CD4-positive, alpha-beta T cell"
IFNA,granulocyte monocyte progenitor cell
CXCL12,precursor B cell
IFN1,myeloid dendritic cell
IL18,cardiac muscle cell
IFNB1,dendritic cell
IL1B,foreskin fibroblast
TGFB,vascular associated smooth muscle cell
IFNG,stromal cell
IL18,mature NK T cell
CCL5,microglial cell
IL15,naive T cell
CXCL1,osteoclast
TGFB1,regulatory T cell
CCL3,monocyte
IL6,T follicular helper cell
IL27,natural killer cell
CSF2,endothelial cell
TGFB,epithelial cell of lung
IFNA,granulocyte
CSF2,synovial cell
IL13,glomerular visceral epithelial cell
IL3,megakaryocyte-erythroid progenitor cell
CXCL12,interneuron
TGFB1,fat cell
IL12,stem cell
IL12,"CD8-positive, alpha-beta cytotoxic T cell"
IL17,monocyte
IL13,alternatively activated macrophage
CCL3,eosinophil
KITLG,erythroid progenitor cell
IL18,osteoblast
TNF,epithelial cell of lung
IL1A,epithelial cell
IL33,myeloid cell
IL16,T cell
IL4,helper T cell
KITLG,melanoblast
PPBP,neutrophil
TGFB1,smooth muscle cell
IL1RN,leukocyte
TGFB2,osteoclast
IL18,articular chondrocyte
IFNA,"CD4-positive, alpha-beta T cell"
IFNG,effector T cell
TGFB,glomerular mesangial cell
TGFA,neuron
CCL5,"CD8-positive, alpha-beta T cell"
IL33,microglial cell
IL1B,T-helper 2 cell
TNF,common lymphoid progenitor
IL10,fibroblast
TNF,granulocyte monocyte progenitor cell
CXCL10,neutrophil
FGF1,fibroblast
IL33,basophil
IFNG,type B pancreatic cell
TNF,neural cell
IFNA,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
TGFB1,endothelial cell of lymphatic vessel
IL4,keratinocyte
FGF2,leukocyte
CXCL12,macrophage
IFNA,cytotoxic T cell
TNF,trichogen cell
CCL3,stem cell
CD40LG,regulatory B cell
IL12,T-helper 17 cell
IL15,eosinophil
IL17A,T-helper 1 cell
IL1B,"CD4-positive, alpha-beta T cell"
TNFSF4,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL18,keratinocyte
TGFB,connective tissue cell
IL10,peritoneal macrophage
IL6,T-helper 1 cell
IL4,immature B cell
IL1,T-helper 2 cell
SPP1,osteoblast
IL17A,leukocyte
IL3,precursor B cell
IL1B,cardiac muscle cell
CXCL12,megakaryocyte
IL21,T follicular helper cell
CSF3,motor neuron
CCL2,pain receptor cell
