cytokine,cell
TNF,granulocyte monocyte progenitor cell
TGFB1,embryonic stem cell
CSF3,macrophage
CSF2,neuron
IFNA,"CD4-positive, alpha-beta T cell"
IL33,mast cell
IL12B,T cell
CSF2,"CD8-positive, alpha-beta T cell"
FGF1,fibroblast
PF4,T cell
TGFB,mammary epithelial cell
RETN,preadipocyte
IL6,astrocyte
IL6,hippocampal neuron
IFNG,microglial cell
TNF,"CD4-positive, alpha-beta T cell"
IL33,neutrophil
PDGFB,pericyte cell
IFNG,neuron
IL10,peritoneal macrophage
CCL2,eosinophil
IL10,microglial cell
IFNA,T-helper 1 cell
IL21,macrophage
IL3,B cell
CSF2,leukocyte
EPO,erythroid progenitor cell
TGFB1,stem cell
IL17A,myeloid cell
EPO,glomerular visceral epithelial cell
IL1,stromal cell
IL10,mature microglial cell
TNF,platelet
IL2,fibroblast
CSF3,endothelial cell
TGFB1,skin fibroblast
IL21,T-helper 1 cell
IL1RN,B cell
IL1B,osteoblast
IFNA,platelet
IL10,mature neutrophil
CXCL8,B cell
IL22,eosinophil
CD40LG,lymphocyte
CX3CL1,microglial cell
TNF,hematopoietic stem cell
IL1B,fat cell
TGFB,mesenchymal cell
CX3CL1,monocyte
CSF3,"CD8-positive, alpha-beta T cell"
IFNB1,neuron
CD40LG,"CD4-positive, alpha-beta T cell"
IFNB1,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
IL10,endothelial cell
TNF,smooth muscle myoblast
IL10,professional antigen presenting cell
IL1,myeloid cell
IL6,"CD8-positive, alpha-beta T cell"
IL17A,osteoclast
TGFB2,chondrocyte
IL1B,platelet
IL18,T-helper 1 cell
IL17,"CD8-positive, alpha-beta T cell"
CSF2,osteoclast
IFNB1,T-helper 1 cell
TNF,chondrocyte
IL18,goblet cell
IL21,"CD4-positive, alpha-beta T cell"
TNF,sperm
IFNG,hepatocyte
IL7,"CD8-positive, alpha-beta memory T cell"
IL3,erythroid progenitor cell
IL1,hepatocyte
IL4,Tc1 cell
IL12,macrophage
IFNG,stellate cell
LTA,natural killer cell
CCL5,"CD8-positive, alpha-beta T cell"
IFNG,platelet
IFNB1,smooth muscle cell
TNF,gamma-delta T cell
CXCL10,T-helper 17 cell
CCL2,inflammatory macrophage
FGF1,mammary epithelial cell
IL4,preadipocyte
IL6,reticulocyte
TGFA,fibroblast
IL6,myeloid cell
IFNA,neutrophil
TNF,"CD8-positive, alpha-beta T cell"
FGF2,dopaminergic neuron
IFNB1,peritoneal macrophage
IL2,regulatory T cell
TNF,embryonic stem cell
TNFSF11,osteoclast
CSF2,megakaryocyte
CX3CL1,neuron
IFNG,oligodendrocyte
IL22,tracheal epithelial cell
IL6,pneumocyte
TGFB1,"CD4-positive, alpha-beta T cell"
CXCL5,endothelial cell
TNFSF8,eosinophil
CSF2,granulocyte monocyte progenitor cell
IFNG,T-helper 17 cell
EPO,stem cell
IL18,T cell
IL18,"CD4-positive, alpha-beta T cell"
CCL6,leukocyte
IL3,common myeloid progenitor
TNF,erythrocyte
CXCL8,granulosa cell
IL25,T-helper 17 cell
HGF,dendritic cell
IFNG,professional antigen presenting cell
TGFB3,epithelial cell
TNF,Sertoli cell
IL11,vascular associated smooth muscle cell
CXCL11,lymphocyte
IL1,"CD4-positive, alpha-beta T cell"
IFNA,cytotoxic T cell
IL15,epithelial cell
TGFB1,acinar cell
IFNB1,astrocyte
IL15,"CD4-positive, alpha-beta intraepithelial T cell"
IL35,dendritic cell
FGF2,stromal cell
TGFB1,endothelial cell
TGFB2,fibroblast
IL17A,cardiac muscle cell
IL12,endothelial cell
CSF1,erythroid progenitor cell
IL18,fibroblast
IL4,leukocyte
IL33,T cell
IL3,hematopoietic stem cell
IFNG,T-helper 9 cell
CXCL8,macrophage
CSF3,mature neutrophil
IFNG,alveolar macrophage
IL10,myeloid cell
IFNB1,basal cell
IL1A,osteoclast
LECT2,endothelial cell
IFNA,stromal cell
IL4,inflammatory macrophage
