,cytokine,cell,source
508,CCL25,monocyte,cell-cytokine
509,CCL25,lymphocyte,cell-cytokine
510,CCL15,leukocyte,cell-cytokine
511,CCL15,monocyte,cell-cytokine
512,CCL15,endothelial cell,cell-cytokine
513,CCL15,myeloid lineage restricted progenitor cell,cell-cytokine
514,CCL15,eosinophil,cell-cytokine
515,CCL15,osteoclast,cell-cytokine
516,CCL18,T cell,cell-cytokine
517,CCL18,precursor B cell,cell-cytokine
518,CCL18,lymphocyte,cell-cytokine
519,CCL18,"CD4-positive, alpha-beta T cell",cell-cytokine
520,CCL18,eosinophil,cell-cytokine
521,CCL18,endothelial cell,cell-cytokine
522,CCL18,leukocyte,cell-cytokine
523,CCL18,macrophage,cell-cytokine
524,CCL18,fat cell,cell-cytokine
525,CCL11,eosinophil,cell-cytokine
526,CCL11,fibroblast,cell-cytokine
527,CCL11,basophil,cell-cytokine
528,CCL11,leukocyte,cell-cytokine
529,CCL11,mast cell,cell-cytokine
530,CCL11,T cell,cell-cytokine
531,CCL11,epithelial cell,cell-cytokine
532,CCL11,monocyte,cell-cytokine
533,CCL11,eosinophil progenitor cell,cell-cytokine
534,CCL11,B cell,cell-cytokine
535,CCL11,tanycyte,cell-cytokine
536,CCL11,"CD4-positive, alpha-beta T cell",cell-cytokine
537,CCL11,T-helper 2 cell,cell-cytokine
538,CCL16,eosinophil,cell-cytokine
539,CCL16,endothelial cell of vascular tree,cell-cytokine
540,CSF3,neutrophil,cell-cytokine
541,CSF3,stem cell,cell-cytokine
542,CSF3,hematopoietic stem cell,cell-cytokine
543,CSF3,granulocyte,cell-cytokine
544,CSF3,peripheral blood stem cell,cell-cytokine
545,CSF3,leukocyte,cell-cytokine
546,CSF3,myeloid cell,cell-cytokine
547,CSF3,T cell,cell-cytokine
548,CSF3,monocyte,cell-cytokine
549,CSF3,mature neutrophil,cell-cytokine
550,CSF3,neuron,cell-cytokine
551,CSF3,granulocyte monocyte progenitor cell,cell-cytokine
552,CSF3,platelet,cell-cytokine
553,CSF3,endothelial cell,cell-cytokine
554,CSF3,myeloid lineage restricted progenitor cell,cell-cytokine
555,CSF3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",cell-cytokine
556,CSF3,lymphocyte,cell-cytokine
557,CSF3,macrophage,cell-cytokine
558,CSF3,common myeloid progenitor,cell-cytokine
559,CSF3,B cell,cell-cytokine
560,CSF3,adult endothelial progenitor cell,cell-cytokine
561,CSF3,myeloblast,cell-cytokine
562,CSF3,osteoclast,cell-cytokine
563,CSF3,cardiac muscle cell,cell-cytokine
564,CSF3,plasma cell,cell-cytokine
565,CSF3,fibroblast,cell-cytokine
566,CSF3,bone marrow cell,cell-cytokine
567,CSF3,natural killer cell,cell-cytokine
568,CSF3,mesenchymal cell,cell-cytokine
569,CSF3,oocyte,cell-cytokine
570,CSF3,bladder cell,cell-cytokine
571,CSF3,motor neuron,cell-cytokine
572,CSF3,dopaminergic neuron,cell-cytokine
573,CSF3,eosinophil,cell-cytokine
